question,option1,option2,option3,option4,option5,answer,explanation,domain
"開発者は、Amazon S3バケットに保存された動画ファイルへのアクセスを、ログインした特定の有料ユーザーのみに許可したいと考えています。ユーザーには30分間だけ有効な専用のURLを提供します。どの機能を使用しますか？","S3 バケットポリシー","IAM ユーザーアクセスキー","S3 署名付きURL (Presigned URL)","CloudFront OAC",,"3","Amazon S3の署名付きURLを使用すると、通常はプライベートなオブジェクトに対して、一時的（指定した有効期限内）にアクセスできる一意のURLをプログラムで生成してユーザーに提供できます。",1
"Amazon EKS (Elastic Kubernetes Service) を使用してコンテナアプリケーションを実行しています。コンテナのイメージはAmazon ECRに保存されています。セキュリティチームは、コンテナイメージにソフトウェアの脆弱性がないか自動的にスキャンしたいと考えています。どのサービスを使用しますか？","Amazon Macie","Amazon GuardDuty","Amazon Inspector","AWS Shield",,"3","Amazon Inspectorは、Amazon EC2インスタンスだけでなく、Amazon ECRにプッシュされたコンテナイメージのソフトウェアの脆弱性や意図しないネットワークの露出を自動的にスキャンします。",1
"AWSアカウント内で発生する予期しない暗号通貨マイニングのアクティビティや、悪意のあるIPからの不正なAPIコールなどの脅威を、機械学習を用いて自動的に検出するフルマネージド型の脅威検出サービスはどれですか？","Amazon Macie","Amazon GuardDuty","AWS WAF","AWS Security Hub",,"2","Amazon GuardDutyは、CloudTrail、VPCフローログ、DNSログを継続的に分析し、機械学習アルゴリズムを使用してアカウント内の脅威（マイニング、不正アクセスなど）を自動的に検出します。",1
"金融システムを構築しており、EC2インスタンス間の通信を含め、インフラストラクチャ内のすべてのネットワーク通信を暗号化する必要があります。EC2から他のEC2へのネットワークトラフィックの暗号化要件を満たす機能はどれですか？","Nitro Enclaves","AWV VPN","Nitro SystemによるEC2間の透過的なネットワーク暗号化 (特定のインスタンスタイプ)","TLS証明書を各インスタンスに手動でインストールする",,"3","特定の最新のEC2インスタンスタイプ（Nitroシステムベース）を使用し、同じVPC内またはピアリングされたVPC間で通信する場合、AWSはインスタンス間のネットワークトラフィックをハードウェアレベルで自動的かつ透過的に暗号化します。",1
"企業はVPCからのすべてのアウトバウンドトラフィックをインスペクションし、特定の許可されたFQDN（ドメイン名）以外のWebサイトへのアクセスをブロックしたいと考えています。NATゲートウェイの代わり、またはそれと組み合わせて使用する最適なサービスはどれですか？","AWS Network Firewall","AWS WAF","セキュリティグループのアウトバウンドルール","VPC エンドポイント",,"1","AWS Network Firewallは、ステートフルなファイアウォール機能を提供し、アウトバウンド通信においてドメイン名（FQDN）ベースでフィルタリングルールを設定できるため、このユースケースに最適です。",1
"アプリケーションはApplication Load Balancer (ALB) の背後にあるEC2インスタンスでホストされています。ユーザーとALBの間の通信をHTTPSで暗号化するためには、SSL/TLS証明書をどこで管理および展開するのが最も効率的ですか？","AWS Certificate Manager (ACM) で証明書を発行し、ALBにアタッチする。","EC2インスタンスごとに証明書をインストールし、ALBのリスナーをTCPにする。","Amazon Route 53 で証明書を管理する。","AWS KMS で証明書を生成する。",,"1","AWS Certificate Manager (ACM) を使用すると、無料でパブリックSSL/TLS証明書を簡単にプロビジョニング・管理でき、ALBやCloudFrontに直接アタッチしてHTTPS通信を実現できます。",1
"Amazon S3に保存されているPDFファイルの中に、クレジットカード番号や社会保障番号などの個人情報(PII)が平文で含まれていないかを自動で検出し、ダッシュボードで可視化するサービスはどれですか？","Amazon GuardDuty","Amazon Inspector","Amazon Macie","AWS WAF",,"3","Amazon Macieは、機械学習とパターンマッチングを使用してAmazon S3内の機密データ（PIIや認証情報など）を自動的に検出し、データセキュリティの可視化と保護を支援するサービスです。",1
"オンプレミスのデータセンターとAWSのVPCをIPsec VPNで接続しています。セキュリティチームは、オンプレミスからVPC内のEC2インスタンスへのトラフィックのみを許可し、EC2インスタンスからオンプレミスへの自発的な通信開始をブロックしたいと考えています。どの機能を使用すべきですか？","ネットワークACL (NACL)","ルートテーブル","VPCエンドポイント","セキュリティグループ",,"4","セキュリティグループは「ステートフル」であり、インバウンドで許可された通信に対する戻りのトラフィックは自動的に許可されます。アウトバウンドルールを削除すれば、EC2からの自発的な通信開始を防ぐことができます。",1
"企業の主要なデータベースはAmazon RDS for MySQLで稼働しています。障害発生時の目標復旧時間(RTO)を数分に抑えるために、インフラストラクチャレベルの障害に対する高可用性(HA)を設計する必要があります。最適な機能はどれですか？","RDS リードレプリカを別リージョンに作成する。","RDS マルチAZ配置を有効にする。","RDS 自動バックアップの頻度を5分にする。","RDS データベースのスナップショットを毎時間取得する。",,"2","RDSのマルチAZ配置は、別のアベイラビリティーゾーンに同期スタンバイレプリカを作成します。プライマリDBに障害が発生した場合、DNSエンドポイントが自動的にフェイルオーバーされ、RTOは数分に抑えられます。",2
"グローバルなeコマースサイトが、世界中のユーザーに対して1秒未満のRPO（目標復旧時点）と数分のRTO（目標復旧時間）を提供するディザスタリカバリ(DR)戦略を必要としています。データソースとして最適なデータベースアーキテクチャはどれですか？","Amazon DynamoDB シングルリージョンテーブル","Amazon RDS クロスリージョンリードレプリカ","Amazon Aurora グローバルデータベース","Amazon EC2上の自作MySQLクラスター",,"3","Amazon Aurora グローバルデータベースは、ストレージベースのレプリケーションを使用し、リージョンをまたいで1秒未満のデータ損失(RPO)と、1分未満のフェイルオーバー(RTO)を実現する高可用性ソリューションです。",2
"アプリケーションはSQSキューからメッセージを消費し、画像処理を行います。一部のメッセージは破損しており、処理が何度もタイムアウトしてキューに戻り、他の正常なメッセージの処理を妨げています。この問題を自動的に隔離する最適なアプローチはどれですか？","SQSの可視性タイムアウト(Visibility Timeout)を長くする。","SQSのメッセージ保持期間(Message Retention Period)を短くする。","デッドレターキュー (DLQ) を設定し、最大受信回数を超えたメッセージをDLQに移動させる。","SQSのロングポーリングを有効にする。",,"3","デッドレターキュー（DLQ）を設定すると、処理に指定回数（Maximum Receives）失敗したメッセージが自動的にDLQに隔離され、メインのキューでの無限ループを防ぐことができます。",2
"複数のリージョン（東京とシドニー）にWebアプリケーションをデプロイしています。東京リージョンのALBがダウンした場合に、すべてのトラフィックを自動的にシドニーリージョンのALBに迂回させたいと考えています。Amazon Route 53で設定すべきルーティングポリシーはどれですか？","レイテンシーベースルーティング","加重ルーティング","フェイルオーバールーティング","シンプルルーティング",,"3","フェイルオーバールーティングポリシーは、アクティブ/パッシブ（アクティブ/スタンバイ）の構成に最適で、プライマリリソースのヘルスチェックが失敗した場合にスタンバイトラフィックをルーティングします。",2
"Auto Scalingグループ内のEC2インスタンスがApplication Load Balancer (ALB) の背後で稼働しています。特定のEC2インスタンスのWebサーバープロセスがフリーズし、HTTPの応答を返さなくなりました。Auto Scalingグループがこのインスタンスを自動的に終了して置き換えるようにするには、どう設定すべきですか？","CloudWatchアラームでCPU使用率を監視する。","Auto Scalingグループのヘルスチェックタイプに「ELB」を追加する。","Route 53のヘルスチェックを設定する。","EC2のAuto Recovery機能を使用する。",,"2","Auto Scalingのデフォルトのヘルスチェック（EC2ステータスチェック）ではOSやハードウェアの障害しか検知できません。「ELB」タイプを追加することで、ALBが異常と判断した（HTTP応答がない）インスタンスも自動的に置換されます。",2
"ある企業は、ファイルサーバーをAWSに移行したいと考えています。要件として、複数のアベイラビリティーゾーンにまたがる数千のAmazon EC2インスタンス（Linux）から、NFSプロトコルを使用して同時にマウントして読み書きできる必要があります。最適なサービスはどれですか？","Amazon S3","Amazon EBS","Amazon EFS","Amazon FSx for Windows File Server",,"3","Amazon EFS (Elastic File System) は、複数のAZから数千のEC2インスタンスで同時にNFS経由でマウントしてデータを共有できる、可用性とスケーラビリティに優れたフルマネージドファイルシステムです。",2
"システムはAmazon API Gateway、AWS Lambda、およびAmazon DynamoDBを使用して構築されています。トラフィックの急増時に、Lambda関数がDynamoDBの書き込みスループットを超過してしまい、データが失われる事象が発生しました。アーキテクチャを疎結合(デカップリング)にしてデータの損失を防ぐにはどうすべきですか？","API Gatewayのキャッシュを有効にする。","API GatewayとLambdaの間にAmazon SQSを導入し、Lambdaでキューのメッセージを消費する。","DynamoDB Accelerator (DAX) を導入する。","Lambda関数のメモリ割り当てを最大にする。",,"2","Amazon SQSを導入してメッセージをキューにバッファリングすることで、トラフィックのスパイクを吸収し、Lambda関数がDynamoDBの書き込み制限に合わせて自身のペースでデータを処理できるようになります。",2
"オンプレミスの仮想マシンやAWSのEC2、EBSボリューム、RDSデータベースなどのバックアップスケジュールと保持ポリシーを一元的に管理し、自動化するフルマネージドサービスはどれですか？","AWS DataSync","AWS Storage Gateway","AWS Backup","Amazon S3 Glacier",,"3","AWS Backupは、AWSのさまざまなサービス（EC2、EBS、RDS、EFSなど）やオンプレミス環境にまたがるデータのバックアップを一元管理し、ポリシーベースで自動化するフルマネージドサービスです。",2
"企業は、オンプレミスとAWSクラウド間をAWS Direct Connectで接続しています。Direct Connectの物理回線が切断された場合でも、ネットワーク接続を維持するための最もコスト効率の良いフェイルオーバーオプションはどれですか？","別のリージョンに2本目のDirect Connectを引く。","インターネット経由のAWS Site-to-Site VPNをバックアップ接続として構成する。","VPCピアリングを使用する。","AWS Transit Gatewayを使用する。",,"2","Direct Connectのフェイルオーバーとして、インターネット経由のIPsec VPN（AWS Site-to-Site VPN）を構成するのは、2本目の専用線を引くよりも安価で、標準的な高可用性（HA）のベストプラクティスです。",2
"データベースのテーブルを誤って削除してしまった場合でも、直前の状態（数分前）にデータを復元できるようにしたいと考えています。Amazon DynamoDBを使用している場合、これを可能にする機能はどれですか？","DynamoDB グローバルテーブル","DynamoDB オンデマンドバックアップ","DynamoDB ポイントインタイムリカバリ (PITR)","DynamoDB ストリーム",,"3","DynamoDBのポイントインタイムリカバリ（PITR）を有効にすると、過去35日間の任意の秒単位の時点にテーブルのデータをロールバック（復元）することが可能になります。",2
"アプリケーションはAmazon S3バケットに数百万の画像を保存しています。これらの画像に対して、誤って同じファイル名で上書きアップロードをしてしまった場合でも、元の画像を復元できるようにする機能はどれですか？","S3 ライフサイクルルール","S3 オブジェクトロック","S3 バージョニング","S3 クロスリージョンレプリケーション",,"3","S3バージョニングを有効にすると、同じキー（ファイル名）でオブジェクトがアップロードされた場合でも、古いデータが以前のバージョンとして保持されるため、いつでも復元可能になります。",2
"メッセージ処理システムにおいて、タスクを送信された順番通りに、かつ「厳密に1回だけ（Exactly-Once）」処理する必要がある金融取引アプリケーションを構築しています。最適なサービスはどれですか？","Amazon Kinesis Data Streams","Amazon SNS","Amazon SQS 標準キュー","Amazon SQS FIFO キュー",,"4","Amazon SQS FIFO（First-In-First-Out）キューは、メッセージの順序を厳密に保持し、重複を排除して「正確に1回の処理（Exactly-Once）」を保証するように設計されています。",2
"企業のインフラは、それぞれ別のアカウントに存在する数十のVPCで構成されています。現在、すべてのVPCがメッシュ状にピアリング接続されており、ルーティングの管理が非常に複雑になっています。このネットワークアーキテクチャを単一のハブで簡素化するサービスはどれですか？","AWS Direct Connect Gateway","AWS Transit Gateway","VPC エンドポイント","Amazon API Gateway",,"2","AWS Transit Gatewayは、VPCやオンプレミスネットワークを単一のゲートウェイに接続するハブとして機能し、複雑なVPCピアリングのメッシュ構成を劇的に簡素化します。",2
"EC2 Auto Scalingグループを使用してWebサーバーを管理しています。平日の午前9時に出社する従業員が一斉にアクセスするため、毎日この時間帯にトラフィックが急増することがあらかじめ分かっています。リクエストの遅延を防ぐ最適なスケーリングポリシーはどれですか？","ターゲット追跡スケーリングポリシー (CPU使用率70%)","簡易スケーリングポリシー","スケジュールされたスケーリング (Scheduled Scaling)","ステップスケーリングポリシー",,"3","トラフィックの急増する時間が「毎日午前9時」と明確に予測可能な場合、事前にインスタンス数を増やしておく「スケジュールされたスケーリング」を使用するのが最も効果的です。",2
"オンプレミス環境とAWS間で、NFSまたはSMBプロトコルを使用してデータを定期的に同期・移行するための自動化サービスであり、帯域幅の制限や転送データの暗号化をネイティブにサポートするサービスはどれですか？","AWS Snowcone","AWS DataSync","AWS Storage Gateway (Volume Gateway)","Amazon Kinesis Data Firehose",,"2","AWS DataSyncは、オンプレミスのストレージシステム（NFS、SMBなど）とAWSストレージサービス（S3、EFS、FSx）間で大量のデータを安全かつ高速にオンラインで移行・同期するためのサービスです。",2
"企業はAWS上で提供している動画配信サービスについて、世界中のユーザーが読み込み遅延（バッファリング）なくコンテンツを視聴できるようにしたいと考えています。動画ファイルはAmazon S3に保存されています。パフォーマンスを最適化するAWSサービスはどれですか？","AWS Global Accelerator","Amazon CloudFront","Amazon ElastiCache","S3 Transfer Acceleration",,"2","Amazon CloudFrontは、世界中に分散されたエッジロケーションを利用してコンテンツ（静的・動的ファイル、動画ストリーミングなど）をキャッシュし、ユーザーに最も近い場所から低遅延で配信するCDNサービスです。",3
"UDPプロトコルを使用するリアルタイムのマルチプレイヤーゲームサーバーをEC2インスタンス上でホストしています。クライアントとサーバー間のパケットロスを最小限に抑え、世界中のユーザーに固定のエニーキャストIPアドレスを提供してパフォーマンスを向上させるサービスはどれですか？","Application Load Balancer (ALB)","Amazon CloudFront","AWS Global Accelerator","Amazon Route 53",,"3","AWS Global Acceleratorは、2つの静的なエニーキャストIPを提供し、AWSのグローバルネットワークバックボーンを利用してTCPおよびUDPトラフィックのパフォーマンスと安定性を最適化します。",3
"リレーショナルデータベース（Amazon RDS MySQL）の読み取りクエリ（Read）が非常に多く、データベースのCPU使用率が高騰しています。数百万のユーザーが同じランキングデータにアクセスします。データベースの負荷を軽減し、ミリ秒以下のレイテンシーを提供する最適なサービスはどれですか？","RDS マルチAZを有効にする。","Amazon ElastiCache for Redis を導入する。","Amazon DynamoDB にデータを移行する。","RDSのインスタンスクラスをスケールアップする。",,"2","Amazon ElastiCache (Redis または Memcached) をキャッシュ層としてデータベースの前に導入することで、頻繁にアクセスされる同一のクエリ結果をインメモリで返し、RDSへの読み取り負荷を劇的に軽減できます。",3
"機械学習のトレーニング処理を行うため、数百のAmazon EC2インスタンスが相互に大量のデータをやり取りする必要があります。ネットワークレイテンシーを極限まで低くし、スループットを最大化するためのEC2インスタンスの最適な配置方法はどれですか？","プレイスメントグループの「クラスター (Cluster)」戦略を使用する。","プレイスメントグループの「スプレッド (Spread)」戦略を使用する。","複数のアベイラビリティーゾーンに均等に配置する。","専用ホスト (Dedicated Hosts) を利用する。",,"1","クラスタープレイスメントグループは、単一のアベイラビリティーゾーン内のインスタンスを論理的に密接にグループ化し、HPCや機械学習などの低レイテンシーで高スループットなノード間通信に最適です。",3
"IoTデバイスから1秒間に何万件も送信されるセンサーデータをリアルタイムで収集・ストリーミングし、カスタムのアプリケーション（LambdaやEC2）で即座に分析処理を行いたいと考えています。要件を満たす最適なサービスはどれですか？","Amazon SQS","Amazon Kinesis Data Streams","Amazon SNS","AWS Batch",,"2","Amazon Kinesis Data Streamsは、数十万のソースから継続的に生成される大容量のストリーミングデータをリアルタイムで収集・処理・分析するためのスケーラブルなサービスです。",3
"データサイエンティストチームは、Amazon S3バケットに保存されている数百ギガバイトのJSONおよびCSVファイルに対して、事前にデータベースにロード（ETL）することなく、標準的なSQLクエリを直接実行して分析を行いたいと考えています。最もコスト効率の良いサーバーレスサービスはどれですか？","Amazon Redshift","Amazon EMR","Amazon Athena","Amazon RDS",,"3","Amazon Athenaは、サーバーをセットアップしたりデータをロードしたりすることなく、Amazon S3内のデータに対して直接標準SQLでインタラクティブにクエリを実行できるサーバーレスサービスです。",3
"Amazon DynamoDBテーブルを使用していますが、一部の読み取りリクエストにおいて、ミリ秒（1000分の1秒）ではなくマイクロ秒（100万分の1秒）レベルの超低レイテンシーが求められています。アプリケーションのコード変更を最小限にしてこれを実現する機能はどれですか？","DynamoDB グローバルテーブル","Amazon ElastiCache for Memcached","Amazon DynamoDB Accelerator (DAX)","DynamoDBの読み取りキャパシティユニット(RCU)を増やす。",,"3","DAX（DynamoDB Accelerator）は、DynamoDB専用のフルマネージド型で高可用性なインメモリキャッシュであり、API互換性があるためコード変更を最小限に抑えつつマイクロ秒の読み取りパフォーマンスを提供します。",3
"ユーザーが世界中からAmazon S3バケットに大容量の動画ファイル（数GB）をアップロードしています。ユーザーの物理的な場所からAWSへのインターネットルーティングの遅延により、アップロードに非常に時間がかかっています。このアップロードを加速するAWS機能はどれですか？","S3 マルチパートアップロード","S3 Transfer Acceleration","AWS Direct Connect","Amazon CloudFront",,"2","S3 Transfer Accelerationは、CloudFrontのエッジロケーションを経由して、AWSの最適化された高速ネットワークバックボーンを利用して長距離間のS3へのアップロードを劇的に高速化します。",3
"データベースのワークロードが非常にI/O集約型であり、64,000 IOPSといった高いスループットと安定したレイテンシーを継続的に要求します。このミッションクリティカルなデータベースに最適なAmazon EBSボリュームタイプはどれですか？","汎用 SSD (gp3)","スループット最適化 HDD (st1)","プロビジョンド IOPS SSD (io2)","Cold HDD (sc1)",,"3","プロビジョンド IOPS SSD (io2) ボリュームは、I/O集約型のミッションクリティカルなデータベースワークロード向けに設計されており、指定した非常に高いIOPSを一貫して提供します。",3
"企業はペタバイト規模の構造化データを保存し、標準のBIツールを使用して複雑な分析クエリ（結合や集計など）を高速に実行できるデータウェアハウスを構築したいと考えています。最適なサービスはどれですか？","Amazon RDS for PostgreSQL","Amazon Redshift","Amazon DynamoDB","Amazon Aurora",,"2","Amazon Redshiftは、大規模な並列処理（MPP）と列指向ストレージを使用して、ペタバイト規模のデータに対する複雑な分析クエリを高速に処理するフルマネージド型データウェアハウスです。",3
"オンプレミスのファイルサーバーをAWSに移行します。既存のアプリケーションはWindows上で稼働しており、SMBプロトコルとActive Directory(AD)を使用したファイルアクセス権限に依存しています。アプリケーションを変更せずに利用できるAWSストレージサービスはどれですか？","Amazon EFS","Amazon S3","Amazon FSx for Windows File Server","Amazon FSx for Lustre",,"3","Amazon FSx for Windows File Serverは、フルマネージド型のネイティブなWindowsファイルシステムであり、SMBプロトコルやActive Directoryの統合を完全にサポートしています。",3
"EC2インスタンス上で動作する機械学習のトレーニングジョブが、Amazon S3に保存された膨大なデータセットにアクセスする必要があります。S3のデータをPOSIX準拠のファイルシステムとして超高速でマウントし、処理を高速化する最適なサービスはどれですか？","Amazon EFS","Amazon FSx for Lustre","Amazon EBS","AWS Storage Gateway (File Gateway)",,"2","Amazon FSx for Lustreは、機械学習やHPC（ハイパフォーマンスコンピューティング）向けに設計された超高性能ファイルシステムで、Amazon S3とネイティブに連携してデータをシームレスに処理できます。",3
"あるアプリケーションは、一時的なキャッシュデータや一時ファイルを処理するために、最高レベルのブロックストレージI/Oパフォーマンスを必要とします。データはインスタンスの再起動や停止時に失われても構いません。最適なストレージオプションはどれですか？","Amazon EBS プロビジョンドIOPS (io2)","Amazon EFS","EC2 インスタンスストア (Instance Store)","Amazon S3",,"3","EC2インスタンスストアは、ホストコンピューターに物理的にアタッチされたNVMeベースのストレージであり、EBSよりも高いI/Oパフォーマンスを提供しますが、データは一時的（エフェメラル）です。",3
"Amazon Kinesis Data Streamsから収集したストリーミングデータを、複雑なコードを書かずに、自動的にバッチ処理してAmazon S3およびAmazon Redshiftに保存（ロード）したいと考えています。最適なサービスはどれですか？","AWS Lambda","Amazon Kinesis Data Firehose","Amazon EMR","AWS Glue",,"2","Amazon Kinesis Data Firehose (現 Amazon Data Firehose) は、ストリーミングデータをキャプチャし、S3、Redshift、OpenSearchなどに自動的に変換してロードするためのフルマネージドサービスです。",3
"グローバルなユーザーを持つソーシャルメディアアプリで、ユーザーのセッションやユーザープロファイルなどのKey-Valueデータを保存するデータベースを探しています。世界中のどのリージョンからもミリ秒単位で読み書きができ、複数リージョンでアクティブ-アクティブの構成を取れる必要があります。最適なサービスはどれですか？","Amazon RDS マルチAZ","Amazon Aurora グローバルデータベース","Amazon DynamoDB グローバルテーブル","Amazon ElastiCache",,"3","Amazon DynamoDB グローバルテーブルは、フルマネージド型のマルチリージョン、マルチアクティブなNoSQLデータベースであり、グローバルユーザーへの超低レイテンシーなデータアクセスに最適です。",3
"企業は、S3バケット内の特定のプレフィックス（例: `logs/`）に保存されるすべてのログファイルを、作成から30日後に自動的に削除したいと考えています。最も運用オーバーヘッドがなく、コストのかからない方法はどれですか？","S3 イベント通知を使用してLambdaをトリガーし、30日待機して削除する。","Amazon EventBridgeで毎日のcronジョブを設定し、APIで古いオブジェクトを削除する。","S3 ライフサイクルルールを作成し、対象のプレフィックスに対して30日後に「有効期限切れ(Expiration)」アクションを設定する。","S3 Intelligent-Tieringを使用する。",,"3","S3ライフサイクルルールのExpiration（有効期限切れ）アクションを使用すると、AWSが自動的かつ無料で指定条件に合致するオブジェクトをバックグラウンドで削除してくれます。",4
