question,option1,option2,option3,option4,option5,answer,explanation,domain
"ある企業は、Amazon S3バケットに機密のドキュメントを保存しています。これらのファイルに対して、インターネットから直接アクセスされることを防ぐため、Amazon CloudFront経由でのみアクセスできるようにする必要があります。最も安全で推奨される構成はどれですか？","S3バケットをパブリックに設定し、CloudFrontのIPアドレス範囲からの通信のみを許可する。","CloudFrontでオリジンアクセス制御 (OAC) を構成し、S3バケットポリシーでOACからの読み取りのみを許可する。","S3バケットのWebサイトホスティングを有効にし、カスタムヘッダーで認証する。","VPCエンドポイントを作成し、CloudFrontにアタッチする。",,"2","オリジンアクセス制御（OAC）を使用すると、S3バケットへの直接アクセスを完全にブロックしつつ、指定したCloudFrontディストリビューションからのみ安全にS3オブジェクトを取得できるようになります。",1
"企業が、インターネット向けに提供するアプリケーションのセキュリティ評価を行いたいと考えています。EC2インスタンス上のソフトウェアの脆弱性（CVE）や、誤ってパブリックインターネットに公開されているポートがないかを自動的かつ継続的にスキャンするサービスはどれですか？","AWS WAF","Amazon Macie","Amazon Inspector","AWS Security Hub",,"3","Amazon Inspectorは、EC2インスタンスやコンテナイメージに対する自動化された脆弱性管理サービスであり、ソフトウェアの既知の脆弱性（CVE）や意図しないネットワークの露出を継続的にスキャンします。",1
"マルチティアアーキテクチャのアプリケーションで、データベース層のAmazon RDSインスタンスを外部の脅威から保護する必要があります。最小権限の原則に基づくセキュリティグループの最適な設定はどれですか？","データベースのセキュリティグループで、インバウンドポート3306を `0.0.0.0/0` に対して許可する。","データベースのセキュリティグループで、インバウンドポート3306をプライベートサブネットのIPアドレス範囲に対して許可する。","データベースのセキュリティグループで、インバウンドポート3306の送信元として「WebサーバーのセキュリティグループID」を指定して許可する。","ネットワークACL (NACL) でインバウンド通信をブロックする。",,"3","セキュリティグループの送信元としてIPアドレスではなく「特定のセキュリティグループID」を指定することで、そのセキュリティグループがアタッチされたインスタンスからの通信のみを許可する強固なアクセス制御（最小権限）が可能になります。",1
"オンプレミスのアプリケーションが、AWSのAmazon S3とAmazon DynamoDBにアクセスする必要があります。データはパブリックインターネットを経由せずに転送される必要があります。AWS Direct Connectを使用してオンプレミスからVPCに接続されていますが、S3とDynamoDBへのトラフィックをAWSネットワーク内に留めるためには何を構成すべきですか？","パブリックサブネットにNATゲートウェイを作成する。","S3とDynamoDB用のゲートウェイVPCエンドポイントを作成し、ルートテーブルを構成する。","S3とDynamoDB用のインターフェイスVPCエンドポイント (AWS PrivateLink) を作成する。","VPCピアリングを設定する。",,"3","オンプレミス環境からDirect ConnectまたはVPN経由でS3やDynamoDBにアクセスする場合、ゲートウェイエンドポイントはオンプレミスから直接ルーティングできないため、インターフェイスVPCエンドポイント（PrivateLink）を使用する必要があります。",1
"企業はAWS KMSを使用して機密データを暗号化しています。キーの管理ポリシーが変更され、現在のキーが漏洩した可能性があるため、直ちにこのキーを無効化し、今後一切の暗号化操作に使用できないようにする必要があります。ただし、後で復号が必要になる場合に備えてキー自体は削除しません。どうすべきですか？","キーのステータスを「無効 (Disable)」に変更する。","キーの削除をスケジュールする (Pending Deletion)。","キーの自動ローテーションを有効にする。","KMSキーのエイリアスを削除する。",,"1","KMSキーを「無効」にすると、そのキーを使用した暗号化や復号の操作が即座にブロックされますが、キーマテリアル自体は保持されるため、将来必要になった場合に再度「有効」に戻すことができます。",1
"企業は、金融取引の履歴データをAmazon Aurora PostgreSQLに保存しています。データベースに障害が発生した場合でも、データ損失を最小限に抑え、ダウンタイムなしに自動的に別のアベイラビリティーゾーンのデータベースに切り替える（フェイルオーバーする）必要があります。Auroraにおける最適な設定はどれですか？","データベースの自動バックアップを5分ごとに構成する。","プライマリインスタンスとは別のアベイラビリティーゾーンに、Aurora リードレプリカを作成する。","Amazon Route 53を使用して、複数のAuroraクラスター間でトラフィックをルーティングする。","データベースのスナップショットを毎時間S3にエクスポートする。",,"2","Amazon Auroraでは、別のアベイラビリティーゾーンにリードレプリカを作成しておくことで、プライマリインスタンスに障害が発生した際、レプリカが自動的にプライマリに昇格し、迅速なフェイルオーバーが実現します。",2
"世界中のユーザーが利用するWebアプリケーションがあります。トラフィックは通常安定していますが、不定期に行われるプロモーションの際に突然数倍のトラフィックが押し寄せます。EC2インスタンスのプロビジョニングの遅れによってユーザーがエラーを受け取らないようにするための、Auto Scalingグループの最適なスケーリングポリシーはどれですか？","スケジュールされたスケーリング","簡易スケーリングポリシー","ステップスケーリングポリシー","ターゲット追跡スケーリングポリシー",,"4","予測不可能で突然のトラフィック増減に対しては、指定したメトリクス（例：平均CPU使用率50%）を維持するようにAuto Scalingが自動的に調整を行う「ターゲット追跡スケーリングポリシー」が最も柔軟で効果的です。",2
"災害対策 (DR) のために、オンプレミスのアプリケーションから生成されるデータをAWSに継続的にバックアップしています。目標復旧時点 (RPO) をミリ秒単位に設定し、データセンターがダウンした際にはAWS上のデータベースが迅速に処理を引き継げるようにする必要があります。オンプレミスのデータベースとAWS間のデータ同期に最適なサービスはどれですか？","AWS DataSync","AWS Storage Gateway","AWS Database Migration Service (DMS)","Amazon S3 Transfer Acceleration",,"3","AWS DMSは、移行だけでなく継続的なデータレプリケーション (CDC) をサポートしており、オンプレミスのデータベースの変更をAWS上のデータベース（RDSなど）に極めて低い遅延で継続的に同期し、DR要件を満たすのに最適です。",2
"アプリケーションはAmazon SQSキューを使用して、画像処理ジョブを非同期でバックエンドのEC2ワーカーに送信しています。特定の破損した画像データにより、ワーカーでの処理が繰り返し失敗してエラーになり、他の画像の処理が滞っています。この問題に対処するためのSQSの機能はどれですか？","ロングポーリングを有効にする。","可視性タイムアウト (Visibility Timeout) を短くする。","デッドレターキュー (DLQ) を構成し、最大受信回数を超えたメッセージを移動させる。","FIFOキューに変更する。",,"3","デッドレターキュー（DLQ）を設定すると、指定した回数（Maximum Receives）処理に失敗したメッセージが自動的にDLQに隔離され、メインキューでの無限ループを防ぎ、後でエラー原因を分析できます。",2
"複数のアベイラビリティーゾーンにまたがってデプロイされたAmazon EC2インスタンス群があります。これらのインスタンスは共有の設定ファイルに頻繁にアクセスします。高可用性を確保しつつ、すべてのインスタンスから同時にファイルを読み書きできるストレージソリューションはどれですか？","Amazon EBS","EC2 インスタンスストア","Amazon Elastic File System (Amazon EFS)","Amazon S3",,"3","Amazon EFSは、複数のアベイラビリティーゾーンにある何千ものEC2インスタンスから同時にマウントしてアクセスできる、フルマネージド型の共有ファイルシステムです。",2
"アプリケーションは、ユーザーのアクションに基づいて複数のAWS Lambda関数を順番に呼び出して処理（注文、決済、発送の手続きなど）を行います。1つの関数が失敗した場合には自動的に再試行し、複雑なワークフローを視覚的に管理・オーケストレーションするサービスはどれですか？","Amazon SQS","Amazon SNS","AWS Step Functions","Amazon EventBridge",,"3","AWS Step Functionsは、複数のAWSサービス（Lambdaなど）を組み合わせたステートマシンを作成し、再試行、エラー処理、分岐などの複雑なワークフローを視覚的に設計・実行・オーケストレーションするサービスです。",2
"企業は東京リージョンをプライマリ、大阪リージョンをディザスタリカバリ(DR)のスタンバイ環境として使用しています。プライマリ環境のALBがヘルスチェックに応答しなくなった場合、自動的にすべてのトラフィックを大阪リージョンのALBに切り替えるためのAmazon Route 53のルーティングポリシーはどれですか？","フェイルオーバールーティング","レイテンシーベースルーティング","加重ルーティング","複数値回答ルーティング",,"1","フェイルオーバールーティングポリシーは、アクティブ/パッシブ（アクティブ/スタンバイ）のアーキテクチャで使用され、プライマリリソースの異常を検知すると自動的にトラフィックをセカンダリリソースへ切り替えます。",2
"Application Load Balancer (ALB) を使用して、複数のアベイラビリティーゾーンにあるターゲットグループにトラフィックを分散させています。各アベイラビリティーゾーンのEC2インスタンスの数に偏りがある場合でも、すべてのインスタンスに対して均等にトラフィックを分散させるALBの機能は何ですか？","スティッキーセッション","クロスゾーン負荷分散","接続のドレイン (Connection Draining)","ヘルスチェック",,"2","ALBはデフォルトでクロスゾーン負荷分散が有効になっており、ロードバランサーのノードが属するアベイラビリティーゾーンに関係なく、登録されているすべての正常なターゲットにトラフィックを均等に分散します。",2
"企業は、顧客の注文情報をAmazon DynamoDBテーブルに保存しています。運用ミスにより、数時間前にテーブル内のデータが誤って書き換えられてしまったことが判明しました。過去35日間の任意の時点にテーブルをロールバック（復元）できるDynamoDBの機能はどれですか？","オンデマンドバックアップ","DynamoDB ストリーム","ポイントインタイムリカバリ (PITR)","DynamoDB グローバルテーブル",,"3","ポイントインタイムリカバリ (PITR) を有効にすると、DynamoDBテーブルのデータを過去35日間の任意の1秒間にロールバックして新しいテーブルとして復元でき、偶発的な書き込みや削除から保護されます。",2
"あるアプリケーションは、注文データを受け取ると「在庫管理システム」と「配送システム」の両方に全く同じメッセージを同時に通知する必要があります。パブリッシュ/サブスクライブ（Pub/Sub）モデルを使用して、1つのメッセージを複数のコンシューマー（SQSキューなど）に配信するサービスはどれですか？","Amazon Kinesis Data Streams","Amazon SQS","AWS Step Functions","Amazon Simple Notification Service (Amazon SNS)",,"4","Amazon SNSはフルマネージド型のPub/Subメッセージングサービスであり、1つのトピックにパブリッシュされたメッセージを、複数のサブスクライバー（SQS、Lambda、HTTPエンドポイントなど）に同時にファンアウト（配信）します。",2
"ある企業がオンライン投票システムを構築しています。投票終了間際の数分間に数百万のリクエストが集中し、バックエンドのデータベース層が処理しきれなくなることが懸念されています。トラフィックの急増時にリクエストを失わずにデータベースへの書き込みを平滑化するアーキテクチャはどれですか？","API Gatewayのキャッシュを有効にする。","リクエストをAmazon SQSキューに格納し、Lambda関数がキューから一定のペースでメッセージを取り出してデータベースに書き込む。","Application Load BalancerをNetwork Load Balancerに変更する。","データベースをAmazon RDSからAmazon Redshiftに変更する。",,"2","Amazon SQSを使用してシステムを疎結合にすることで、大量のリクエストをキューに一時的にバッファリングし、バックエンドデータベースの処理能力（スループット）に合わせたペースでデータを書き込むことができ、システムダウンを防ぎます。",2
"VPC内のAmazon EC2インスタンスで、非常に重い動画エンコード処理を行うアプリケーションがあります。このアプリケーションはステートレスですが、処理速度を最大化するために、CPUリソースへのアクセスにおいてネットワークの遅延を全く受けないインメモリレベルのパフォーマンスが必要です。EC2とネットワークを共有しない一時ストレージはどれですか？","Amazon EBS プロビジョンド IOPS SSD","Amazon EFS","EC2 インスタンスストア (Instance Store)","Amazon S3",,"3","EC2インスタンスストアは、EC2インスタンスをホストする物理サーバーに直接アタッチされたNVMeストレージであり、ネットワークを経由しないため、一時データの処理においてEBSを凌駕する最高レベルのI/Oパフォーマンスを提供します。",3
"世界中にユーザーを持つWebアプリケーションで、静的なアセット（画像、CSS）と動的なAPIリクエストの両方のパフォーマンスを向上させたいと考えています。また、悪意のあるDDoS攻撃からAWSオリジンを保護する必要もあります。これを実現する最適なサービスはどれですか？","AWS Global Accelerator","Amazon Route 53","Amazon CloudFront","Application Load Balancer (ALB)",,"3","Amazon CloudFrontは世界規模のCDNであり、静的・動的コンテンツの配信を高速化します。また、AWS Shield Standardと統合されており、エッジロケーションでトラフィックを吸収することでDDoS攻撃からオリジンを保護します。",3
"Amazon Kinesis Data Streamsを使用して、IoTデバイスから送信されるクリックストリームデータを収集しています。データ量が増加するにつれて、コンシューマー側の処理アプリケーションで遅延（イテレーターの遅れ）が発生しています。データ処理のスループットを向上させるための最適な対応はどれですか？","Kinesis Data Streamsのデータ保持期間を延長する。","ストリーム内のシャード (Shard) の数を増やす (リスハードする)。","コンシューマーアプリケーションをLambdaからEC2に変更する。","Kinesisの前にAmazon SQSを配置する。",,"2","Kinesis Data Streamsのスループットの基本単位は「シャード」です。データ量が増えて処理が追いつかない場合は、シャードの数を増やす（スプリットする）ことで並列処理能力が向上し、遅延が解消されます。",3
"高頻度の読み取りが発生するデータベース（Amazon RDS PostgreSQL）があります。同じクエリ結果が頻繁に要求されるため、データベースのCPU負荷が高まっています。アプリケーションコードをわずかに変更して、データベースの前にインメモリのキャッシュ層を導入したいと考えています。最適なサービスはどれですか？","Amazon DynamoDB Accelerator (DAX)","Amazon RDS Proxy","Amazon ElastiCache","Amazon CloudFront",,"3","Amazon ElastiCache（RedisまたはMemcached）は、頻繁にアクセスされるデータをインメモリでキャッシュし、マイクロ秒のレイテンシーで返すことで、リレーショナルデータベース（RDS）の読み取り負荷を劇的に軽減します。",3
"金融機関がUDPプロトコルを使用する独自のリアルタイム通信アプリケーションを開発しています。クライアントからAWS環境へのネットワークパケットロスを減らし、地理的に離れたユーザーに安定した低レイテンシーの接続と、2つの固定のパブリックIPアドレスを提供したいと考えています。最適なサービスはどれですか？","Amazon CloudFront","Application Load Balancer (ALB)","AWS Global Accelerator","Network Load Balancer (NLB) のみを使用",,"3","AWS Global Acceleratorは、UDPおよびTCPトラフィックに対して2つの静的なエニーキャストIPを提供し、AWSの最適化されたグローバルネットワークバックボーンを経由してルーティングするため、パケットロスと遅延を最小化します。",3
"機械学習モデルのトレーニング用に、Amazon S3からテラバイト単位のトレーニングデータを非常に高いスループット（数百GB/秒）で読み込む必要があります。POSIX準拠のファイルシステムインターフェイスを持ち、S3のデータをシームレスに処理できる高性能ファイルシステムはどれですか？","Amazon Elastic File System (EFS)","Amazon FSx for Lustre","Amazon EBS io2 Block Express","AWS Storage Gateway",,"2","Amazon FSx for Lustreは、機械学習やHPCなどの高パフォーマンスコンピューティング向けに設計されており、Amazon S3とネイティブに統合してS3バケットをファイルシステムとして高速に読み書きできます。",3
"企業はペタバイト規模の構造化データを保存し、データサイエンティストが標準のSQLを使用して複雑な結合や集計クエリを数秒から数分で実行できるデータウェアハウス環境を求めています。大規模な並列処理(MPP)を利用する最適なサービスはどれですか？","Amazon RDS for MySQL","Amazon Redshift","Amazon EMR","Amazon Athena",,"2","Amazon Redshiftは、大規模な並列処理（MPP）アーキテクチャと列指向ストレージを使用して、ペタバイト規模のデータに対する複雑な分析クエリを高速に処理するフルマネージド型データウェアハウスです。",3
"VPC内の数百のAmazon EC2インスタンスが、ミリ秒未満のネットワークレイテンシーと高いネットワークスループットで相互に通信する緊密に結合されたHPC（ハイパフォーマンスコンピューティング）ワークロードを実行しています。EC2インスタンスはどのように配置すべきですか？","スプレッドプレイスメントグループに配置する。","複数のアベイラビリティーゾーンに均等に分散させる。","クラスタープレイスメントグループに配置する。","ハードウェア専有インスタンス (Dedicated Instances) を使用する。",,"3","クラスタープレイスメントグループは、単一のアベイラビリティーゾーン内のインスタンスを論理的に密接にグループ化し、インスタンス間に非ブロッキングの広帯域ネットワークを提供するため、HPCなどの低レイテンシー通信に最適です。",3
"S3バケットに数百ギガバイトのCSVファイルが保存されています。データアナリストは、これらのファイルに対してデータベースをプロビジョニングしたりETL処理を行ったりすることなく、標準のSQLで直接クエリを実行したいと考えています。最もインフラ管理が不要なサービスはどれですか？","Amazon Athena","Amazon Redshift","Amazon EMR","AWS Glue",,"1","Amazon Athenaは、インフラの管理や事前のデータロードなしに、Amazon S3内のデータに対して直接標準SQLクエリを実行できるサーバーレスのインタラクティブクエリサービスです。",3
"グローバルなマルチプレイヤーゲームを運営しており、ユーザーのランキングデータ（リーダーボード）を保存するNoSQLデータベースを探しています。世界中の複数のリージョンからミリ秒単位でデータの読み書きができ、すべてのリージョンがアクティブに更新を受け付ける必要があります。最適なサービスはどれですか？","Amazon RDS マルチAZ配置","Amazon DynamoDB グローバルテーブル","Amazon Aurora グローバルデータベース","Amazon ElastiCache for Redis",,"2","Amazon DynamoDB グローバルテーブルは、フルマネージド型のマルチリージョン、マルチアクティブデータベースであり、世界中のどこからでも超低レイテンシーでの読み書きアクセスを提供するNoSQLデータベースとして最適です。",3
"急激なトラフィックスパイクが発生する可能性があるWebサイトがあり、Application Load Balancer (ALB) を使用しています。非常に短時間で数百万のリクエストが押し寄せる場合、ALBのスケーリングが間に合わずエラーになる可能性があります。ALBの前に配置してトラフィックのスパイクを吸収するのに最適なサービスはどれですか？","Amazon API Gateway","Amazon CloudFront","AWS WAF","AWS Global Accelerator",,"2","Amazon CloudFrontをALBの前に配置することで、CloudFrontの巨大なグローバルエッジネットワークが急激なトラフィックスパイクを吸収・キャッシュし、オリジンであるALBへの負荷を劇的に軽減できます。",3
"アプリケーションはS3バケットに大量のオブジェクトを保存しています。一部のオブジェクトは毎日アクセスされますが、他のオブジェクトは作成から数日後に全くアクセスされなくなります。アクセスパターンの変化を手動で監視・移動することなく、自動的にストレージコストを最適化する機能はどれですか？","S3 ライフサイクルルールで30日後にGlacierに移行する。","S3 Standard-IA (低頻度アクセス) を使用する。","S3 Intelligent-Tiering ストレージクラスを使用する。","AWS Macieを使用してアクセス頻度を分析する。",,"3","S3 Intelligent-Tieringは、オブジェクトのアクセスパターンを監視し、一定期間アクセスがないデータを自動的に低コストのアクセス階層に移動させるため、予測不可能なアクセスパターンのコスト最適化に最適です。",4
"企業はAWS上で開発・テスト環境として多数のEC2インスタンスとAmazon RDSインスタンスを実行しています。これらの環境は平日の営業時間（午前9時〜午後6時）にのみ必要です。運用オーバーヘッドなしでコストを大幅に削減するための最適なアプローチはどれですか？","AWS Instance Scheduler (またはEventBridgeとLambda) を使用して、営業時間外にインスタンスを自動的に停止する。","Auto Scalingグループの容量を毎日手動で0に変更する。","EC2スポットインスタンスを利用して夜間にAWSに中断させる。","Compute Savings Plansを購入する。",,"1","AWS Instance Scheduler（現在はEventBridge SchedulerとLambdaで実装されることが多い）を使用することで、不要な時間帯（夜間や週末）のインスタンスの自動停止・起動をスケジュールでき、確実なコスト削減が可能です。",4
"会社は過去10年分のアーカイブデータをAmazon S3に保存しています。コンプライアンス要件によりデータは保持する必要がありますが、アクセスされることは数年に1度あるかないかであり、データの取り出しに最大12時間かかっても問題ありません。ストレージ料金を最小限にするS3ストレージクラスはどれですか？","S3 Glacier Instant Retrieval","S3 Standard-IA","S3 Glacier Flexible Retrieval","S3 Glacier Deep Archive",,"4","S3 Glacier Deep Archiveは、S3のストレージクラスの中で最も保存料金が安く、データの取り出しに数時間（標準で12時間以内）かかっても許容される長期保存やコンプライアンスのためのアーカイブデータに最適です。",4
"あるビッグデータ処理ジョブは、数千台のAmazon EC2インスタンスを使用して並列計算を行います。ジョブの処理はステートレスであり、一部のインスタンスが途中で終了しても、別のインスタンスが処理を再開できる柔軟性を持っています。コンピューティングコストを最大90%削減できるEC2の料金モデルはどれですか？","オンデマンドインスタンス","ハードウェア専有インスタンス (Dedicated Instances)","スポットインスタンス","スタンダードリザーブドインスタンス",,"3","スポットインスタンスは、AWS内の未使用のEC2キャパシティを活用するため、オンデマンド料金と比較して大幅な割引を提供します。AWSの都合で中断される可能性がありますが、バッチ処理やビッグデータ分析に最適です。",4
"企業は複数のAWSアカウントを所有しており、それぞれのアカウントが開発、テスト、本番環境として分かれています。各アカウントの利用料金を個別に支払うのではなく、請求を1つにまとめ、組織全体でのS3の階層型料金（ボリュームディスカウント）の恩恵を受けたいと考えています。どのAWSサービスを使用すべきですか？","AWS Cost Explorer","AWS Budgets","AWS Organizations の一括請求 (Consolidated Billing)","AWS Control Tower",,"3","AWS Organizationsの「一括請求（Consolidated Billing）」機能を使用すると、複数アカウントの支払いを1つにまとめ、すべてのアカウントの合算使用量に基づいてボリュームディスカウントが適用されるためコストが下がります。",4
"毎月のAWSの利用料金が、設定した予算（例：月額2,000ドル）の80%を超過した時点、または月末の予測コストが予算を超えると判断された時点で、管理者にEメールで自動的にアラートを送信したいと考えています。これを実現する最適なサービスはどれですか？","Amazon CloudWatch Billing Alarms","AWS Cost Explorer","AWS Budgets","AWS Trusted Advisor",,"3","AWS Budgetsを使用すると、カスタムのコスト予算を設定し、実際のコストまたは「予測コスト」が閾値を超えた場合に、EメールやSNSでアラートを送信させることができます。",4
