question,option1,option2,option3,option4,option5,answer,explanation,domain
"あなたはソリューションアーキテクトとして、サーバーレスアーキテクチャを用いて業務用アプリケーションを開発しています。このアプリケーションでは、AWS Lambda関数が一連のビジネスロジックを実行し、Amazon DynamoDBテーブルからデータを取得します。その際、HTTPを介してこのアプリケーションを呼び出せるようにする必要があります。HTTP経由での呼び出しを実現するための最適なソリューションはどれでしょうか。（2つ選択）","API Gateway APIを作成して、Lambda関数と統合する。","Application Load Balancer (ALB) のターゲットグループにDynamoDBテーブルを登録する。","Lambdaの関数URL (Function URL) を構成する。","Amazon CloudFrontを直接Lambda関数にオリジンとして設定する。","AWS AppSyncを使用してGraphQL APIを作成する。","1,3","Lambda関数をHTTP経由で呼び出すための主な方法は、Amazon API Gatewayをトリガーとして構成するか、Lambdaの組み込み機能である関数URL (Function URL) を使用することです。",3
"ある企業が、世界中のユーザー向けにUDPベースのリアルタイムオンラインゲームを提供しています。クライアントとAWS上のゲームサーバー（EC2インスタンス）間のネットワークのパケットロスを最小限に抑え、安定した低レイテンシー接続を提供したいと考えています。IPアドレスは固定のパブリックIPである必要があります。最適なAWSサービスはどれでしょうか。","Amazon CloudFront","Application Load Balancer (ALB)","AWS Global Accelerator","Amazon Route 53 (レイテンシーベースルーティング)",,"3","AWS Global Acceleratorは、TCPおよびUDPトラフィックに対して静的なエニーキャストIPを提供し、AWSのグローバルネットワークバックボーンを利用してパケットロスを減らし、パフォーマンスを最適化します。",3
"開発チームは、EC2 Auto Scalingグループを使用してWebサーバーをホストしています。トラフィックの急増時に新しいEC2インスタンスが起動しますが、OSのブートとアプリケーションのロードに数分かかり、その間ユーザーのリクエストに遅延が発生しています。スケールアウト時の応答速度を改善する最適な機能はどれでしょうか。","Auto Scalingのクールダウン期間を短くする。","EC2 Auto Scaling のウォームプール (Warm Pools) を設定する。","ターゲット追跡スケーリングポリシーのしきい値を90%に引き上げる。","インスタンスタイプをよりCPUコア数の多いものに変更する。",,"2","EC2 Auto Scalingのウォームプールを使用すると、OSの起動やアプリケーションの初期化が済んだ状態のインスタンス（StoppedまたはRunning状態で待機）をプールしておくことができ、スケールアウトの時間を大幅に短縮できます。",3
"企業は、オンプレミスのデータセンターで稼働している数テラバイトのNFSファイルデータを、AWS上のAmazon EFSに移行する予定です。データは移行中もオンプレミスで更新され続けるため、最終的な切り替え(カットオーバー)の直前まで差分を自動的かつ高速に同期し続ける必要があります。最適な移行サービスはどれでしょうか。","AWS Storage Gateway (ファイルゲートウェイ)","AWS Snowball Edge","AWS DataSync","Amazon S3 Transfer Acceleration",,"3","AWS DataSyncは、オンプレミスストレージとAWSストレージサービス（Amazon EFSやS3など）の間でデータを高速かつ安全にオンライン移行・同期するためのサービスであり、継続的な差分同期に最適です。",2
"あるアプリケーションは、VPC内の複数のアベイラビリティーゾーンに配置されたAmazon EC2インスタンスから、共有ファイルシステムにアクセスしてデータを読み書きします。要件として、POSIX準拠のファイルシステムインターフェイスが必要であり、ストレージ容量はペタバイト規模まで自動的に拡張される必要があります。最適なサービスはどれでしょうか。","Amazon EBS マルチアタッチ","Amazon S3","Amazon Elastic File System (Amazon EFS)","Amazon FSx for Windows File Server",,"3","複数のAZにある数千のEC2インスタンスから同時にマウントして読み書きでき、自動的にスケールするPOSIX準拠のフルマネージド共有ファイルシステムはAmazon EFSです。",3
"金融機関がAWS上にトランザクション処理システムを構築しています。データベースにはAmazon RDS for PostgreSQLを使用しており、インフラストラクチャレベルの障害（単一のデータセンターの火災など）が発生した場合でも、ダウンタイムとデータ損失を最小限に抑え、自動的に復旧する高可用性アーキテクチャが求められています。最適な設定はどれでしょうか。","RDSの自動バックアップを有効にし、保持期間を35日に設定する。","別のアベイラビリティーゾーンにRDSのリードレプリカを作成する。","RDSデータベースをマルチAZ（Multi-AZ）配置でデプロイする。","データベースをAmazon S3に毎時間エクスポートするスクリプトを実行する。",,"3","RDSのマルチAZ配置は、別のアベイラビリティーゾーンに同期スタンバイレプリカを作成し、プライマリDBに障害が発生した場合にDNSエンドポイントを自動的にフェイルオーバーして高い可用性を提供します。",2
"企業は、過去10年間に蓄積された数ペタバイトの監査ログをAmazon S3に保存しています。コンプライアンス要件により、これらのログは今後も保持する必要がありますが、アクセスされることは年に1回あるかないかです。アクセスが必要になった場合は、取得までに12時間かかっても許容されます。ストレージコストを最も削減できるS3ストレージクラスはどれでしょうか。","S3 Standard-IA (低頻度アクセス)","S3 Intelligent-Tiering","S3 Glacier Flexible Retrieval","S3 Glacier Deep Archive",,"4","S3 Glacier Deep Archiveは、取り出しに数時間（最大12時間）かかっても許容される、長期的なデータ保持とデジタル保存のためのS3ストレージクラスであり、S3の中で最も安価です。",4
"開発環境のAmazon EC2インスタンス群があり、平日（月〜金）の午前9時から午後6時までしか使用されていません。それ以外の時間帯はインスタンスを停止し、不要なコンピューティングコストを削減したいと考えています。運用オーバーヘッドなしでこれを自動化する最適な方法はどれでしょうか。","EC2 Auto Scalingグループの最小容量を営業時間外に0にする。","AWS Instance Scheduler（または EventBridge + Lambda）を使用してインスタンスの自動起動・停止をスケジュールする。","開発者に退社時にインスタンスを手動で停止するよう指導する。","EC2 スポットインスタンスを使用して、不要な時間に自動終了させる。",,"2","AWS Instance Scheduler（またはEventBridge Schedulerを使用したLambda関数のトリガー）を設定することで、営業時間外のEC2およびRDSインスタンスの自動停止・起動を簡単にスケジュールでき、大幅なコスト削減が可能です。",4
"企業は、複数のAWSアカウントで様々なワークロード（Amazon EC2、AWS Fargate、AWS Lambda）を実行しています。今後1年間の全体的なコンピューティング使用量に対してコミットメント（1時間あたり〇ドル支払う）を行うことで、これらすべてのサービスにまたがって柔軟に割引を受けたいと考えています。最適な料金モデルはどれでしょうか。","EC2 スタンダードリザーブドインスタンス","EC2 コンバーティブルリザーブドインスタンス","Compute Savings Plans","EC2 Instance Savings Plans",,"3","Compute Savings Plansは最も柔軟な割引モデルであり、インスタンスファミリー、サイズ、OS、リージョンに関係なく、EC2、Fargate、Lambda全体の利用額に対して自動的に割引が適用されます。",4
"あるスタートアップ企業がAWS上で新しいメディア処理アプリケーションを立ち上げようとしています。この処理は大量の計算リソースを必要としますが、ジョブはステートレスであり、処理が途中で中断されても後から再開できる柔軟性を持っています。EC2のコンピューティングコストを最大90%削減できる購入オプションはどれでしょうか。","オンデマンドインスタンス","ハードウェア専有インスタンス (Dedicated Instances)","スポットインスタンス","リザーブドインスタンス",,"3","スポットインスタンスは、AWS内の空きキャパシティを利用することで大幅な割引（最大90%）を提供します。AWSが必要とした際に中断される可能性がありますが、ステートレスでフォールトトレラントなバッチ処理に最適です。",4
"企業は、AWS上に構築されたWebアプリケーションのドメイン名として「example.com」を使用しています。トラフィックを負荷分散するためにApplication Load Balancer (ALB) をデプロイしました。「example.com」へのアクセスを直接ALBにルーティングするために、Amazon Route 53で作成すべきレコードタイプは何でしょうか。","CNAME レコード","A レコード (エイリアスレコードとして構成)","MX レコード","TXT レコード",,"2","Route 53では、Zone Apex（ネイキッドドメイン、例: example.com）をALBやCloudFrontなどのAWSリソースにルーティングする場合、Aレコードを作成し「エイリアス（Alias）」として対象リソースを指定します。Zone ApexにCNAMEは使用できません。",2
"AWS上のVPCで稼働しているEC2インスタンス群があり、オンプレミスのデータセンターにあるデータベースと通信する必要があります。パブリックインターネットを経由せずに、専用の物理的なネットワーク接続を確立して、一貫したネットワークパフォーマンスを提供したいと考えています。使用すべきAWSサービスはどれでしょうか。","AWS Site-to-Site VPN","AWS Direct Connect","VPC ピアリング","AWS Transit Gateway",,"2","AWS Direct Connectは、オンプレミス環境からAWSへの専用のプライベートネットワーク接続を確立するサービスであり、インターネットをバイパスして一貫した低レイテンシーと高い帯域幅を提供します。",3
"大規模なデータウェアハウスをAWSに構築し、ペタバイト規模の構造化データに対して、標準のSQL（BIツールなど）を使用して複雑な分析クエリを高速に実行したいと考えています。列指向のストレージを利用して大規模な並列処理（MPP）を行うフルマネージドサービスはどれでしょうか。","Amazon RDS for Oracle","Amazon Redshift","Amazon DynamoDB","Amazon EMR",,"2","Amazon Redshiftは、大規模な並列処理（MPP）と列指向ストレージを使用して、ペタバイト規模のデータに対する複雑な分析クエリを高速に処理するフルマネージド型データウェアハウス(DWH)です。",3
"アプリケーションはAmazon S3から大量のデータを継続的に読み取っています。現在、データの変更を検知するためにS3バケットを定期的にポーリング（定期確認）しており、不要なAPI呼び出しとコストが発生しています。S3にオブジェクトが作成または更新された瞬間に、即座にAWS Lambda関数をトリガーする最も効率的な方法はどれでしょうか。","CloudWatch Logsを使用してS3のログを監視し、Lambdaをトリガーする。","S3 イベント通知 (Event Notifications) を設定し、ターゲットとしてLambda関数を指定する。","EventBridgeで1分ごとのcronジョブを作成し、S3をチェックするLambdaを実行する。","AWS CloudTrailのアラームを設定する。",,"2","Amazon S3イベント通知機能を使用すると、特定のS3バケットでオブジェクトの作成（Put）などのイベントが発生した際に、SNS、SQS、またはLambda関数を自動的かつ非同期にトリガーできます。",3
"ビッグデータ処理を行うための数百のAmazon EC2インスタンスがあります。これらのインスタンスは相互に大量のデータをやり取りするため、ノード間のネットワークレイテンシーを極限まで低くし、ネットワークスループットを最大化する必要があります。インスタンスをどのように配置すべきでしょうか。","スプレッドプレイスメントグループに配置する。","複数のアベイラビリティーゾーンに分散させる。","クラスタープレイスメントグループに配置する。","Network Load Balancerの背後に配置する。",,"3","クラスタープレイスメントグループは、単一のアベイラビリティーゾーン内のインスタンスを論理的に密接にグループ化し、HPCや機械学習などの低レイテンシーで高スループットなノード間通信を実現します。",3
"I/O集約型のNoSQLデータベースをAmazon EC2インスタンス上で独自にホストしています。データは永続化される必要があり、インスタンスのネットワーク帯域幅に依存せず、非常に高いIOPS（例：64,000 IOPS）が安定して保証される必要があります。最適なAmazon EBSボリュームタイプはどれでしょうか。","汎用 SSD (gp3)","スループット最適化 HDD (st1)","プロビジョンド IOPS SSD (io2)","EC2 インスタンスストア",,"3","プロビジョンド IOPS SSD (io2) ボリュームは、I/O集約型のミッションクリティカルなデータベースワークロード向けに設計されており、指定した非常に高いIOPSを一貫して提供します。（インスタンスストアはデータが永続化されません）",3
"IoTデバイスから1秒間に何万件も送信されるセンサーデータをリアルタイムで収集し、順番を保持したままストリーミング処理して、カスタムのアプリケーションで即座に分析を行いたいと考えています。要件を満たす最適なAWSサービスはどれでしょうか。","Amazon Simple Queue Service (SQS)","Amazon Kinesis Data Streams","Amazon Simple Notification Service (SNS)","AWS Batch",,"2","Amazon Kinesis Data Streamsは、数十万のソースから継続的に生成される大容量のストリーミングデータをリアルタイムで収集・保存し、順序を保持したまま分析・処理するためのスケーラブルなサービスです。",3
"あるアプリケーションは、画像のアップロードを受け付けると同時に、その画像からサイズの異なるサムネイルを非同期で生成する必要があります。処理のレイテンシーを最小化し、サーバーのインフラ管理（プロビジョニングやパッチ適用）を不要にするサーバーレスアーキテクチャはどれでしょうか。","EC2インスタンス内でcronジョブを実行して画像を変換する。","S3バケットのイベント通知を使用してAWS Lambda関数をトリガーし、サムネイルを生成する。","AWS Elastic Beanstalkのワーカー環境を使用する。","アップロードされた画像をAmazon EFSに保存し、AWS Fargateのスケジュールタスクで処理する。",,"2","S3イベント通知とAWS Lambdaを組み合わせることで、画像がアップロードされた瞬間にサーバーレスで非同期処理（サムネイル生成）が実行され、インフラ管理が不要なスケーラブルなアーキテクチャが実現します。",3
"企業は、マルチティアのWebアプリケーションを構築しており、データベース層としてAmazon Aurora MySQLを使用しています。月末に経理部門が大規模な集計レポートを作成するための複雑なクエリを実行しますが、その間、通常のWebユーザーの読み書きパフォーマンスが低下してしまいます。メイン機能のパフォーマンスを維持しつつレポート生成を処理する最適な方法はどれでしょうか。","Auroraデータベースのインスタンスサイズをスケールアップする。","Aurora リードレプリカ (Aurora Replicas) を追加し、経理部門のレポートクエリをそちらに向ける。","Amazon ElastiCacheを導入してクエリ結果をキャッシュする。","Amazon DynamoDBにデータをエクスポートして分析する。",,"2","Auroraリードレプリカを作成し、読み取り専用の重いトラフィック（レポート生成など）をオフロードすることで、プライマリ（書き込み）インスタンスのパフォーマンス低下を防ぐことができます。",3
"ある企業は、ファイルサーバーの容量不足に悩んでいます。オンプレミスのアプリケーションコードを改修せずに、引き続きNFS/SMBプロトコルでアクセスを行いつつ、バックエンドのストレージとして容量が実質無制限のAmazon S3を利用したいと考えています。最適なサービスはどれでしょうか。","AWS DataSync","AWS Storage Gateway (ファイルゲートウェイ)","Amazon Elastic File System (EFS)","AWS Snowcone",,"2","AWS Storage Gatewayのファイルゲートウェイを使用すると、オンプレミスのアプリケーションからNFSやSMBプロトコルを使用して、シームレスにAmazon S3内のオブジェクトとしてデータを保存・アクセスできます。",2
"AWS環境上で稼働するアプリケーションが、Amazon DynamoDBテーブルにアクセスしています。セキュリティチームは、VPC内のEC2インスタンスからDynamoDBへの通信がパブリックインターネットを経由しないようにネットワークを構成することを求めています。使用すべき接続方法はどれでしょうか。","ゲートウェイ VPCエンドポイント","インターフェイス VPCエンドポイント (AWS PrivateLink)","NAT ゲートウェイ","AWS Direct Connect",,"1","Amazon S3とAmazon DynamoDBに対して、VPC内からパブリックインターネットを経由せずにプライベートにアクセスするには、ゲートウェイ VPCエンドポイントを使用します。",1
"企業は、数十のAWSアカウントをAWS Organizationsで一元管理しています。各アカウントの利用料金を個別にクレジットカードで支払うのではなく、請求を1つにまとめ、全体でのボリュームディスカウント（S3の階層型料金など）の恩恵を受けたいと考えています。Organizationsのどの機能を使用すべきでしょうか。","AWS Cost Explorer の一元化","サービスコントロールポリシー (SCP)","一括請求 (Consolidated Billing)","AWS Resource Access Manager (RAM)",,"3","AWS Organizationsの「一括請求（Consolidated Billing）」機能を使用すると、複数アカウントの支払いを1つにまとめ、組織内のすべてのアカウントの合算使用量に基づいてボリュームディスカウントが適用されます。",4
"会社は毎日数百万件のログファイルをAmazon S3に保存しています。過去30日間のログは分析のために頻繁にアクセスされますが、30日を過ぎたログはコンプライアンスの目的で長期間保存されるものの、アクセスされることはほとんどありません。運用オーバーヘッドなしでストレージコストを最小化する方法はどれでしょうか。","S3 Intelligent-Tieringを使用する。","S3 ライフサイクルルールを作成し、作成から30日後にオブジェクトを S3 Standard から S3 Glacier Deep Archive に移行する。","AWS Lambda関数を作成し、30日経過したオブジェクトを別のアカウントのS3に移動する。","S3のストレージクラスを最初から S3 One Zone-IA に設定する。",,"2","保存期間とアクセスパターン（30日を境にアクセスがなくなる）が明確に予測可能な場合、S3ライフサイクルルールを使用して自動的に最も安価なGlacier Deep Archiveへ移行するのが最適なコスト最適化策です。",4
"Amazon S3に世界中から大きなメディアファイル（数GB）をアップロードするユーザーがいます。インターネットのルーティングや距離によるアップロードの遅延を解消し、AWSの最適化されたネットワークバックボーンを利用してアップロード速度を最大化する機能はどれでしょうか。","S3 マルチパートアップロード","Amazon CloudFront の OAC","AWS Global Accelerator","S3 Transfer Acceleration",,"4","S3 Transfer Accelerationは、CloudFrontのグローバルに分散されたエッジロケーションを経由して、AWSの最適化されたネットワークバックボーンを利用することで、遠距離からのS3へのデータ転送を高速化します。",3
"複数のWebサーバー(EC2インスタンス)が、ユーザーのログインセッション情報を共有するためにデータベースを利用しています。セッションデータの読み書きによるデータベースの負荷が高まっており、パフォーマンスを向上させるためにセッションデータを外部のインメモリデータストアに移行することを検討しています。最適なAWSサービスはどれでしょうか。","Amazon Elastic Block Store (EBS)","Amazon ElastiCache","Amazon DynamoDB Accelerator (DAX)","AWS Storage Gateway",,"2","セッションデータのように一時的で、マイクロ秒単位の高速な読み書きが求められるKey-Valueデータの保存先としては、インメモリデータストアであるAmazon ElastiCache（RedisまたはMemcached）が最適です。",3
"開発環境用にVPC内でAmazon EC2インスタンス群を稼働させています。これらのインスタンスはパブリックIPアドレスを持たず、プライベートサブネットに配置されていますが、ソフトウェアパッケージの更新のためにインターネット上のリポジトリにアクセスする必要があります。安全にアウトバウンド通信を許可するコンポーネントはどれでしょうか。","インターネットゲートウェイ (IGW) をプライベートサブネットに関連付ける。","パブリックサブネットにNATゲートウェイをデプロイし、プライベートサブネットのルートを向ける。","VPC エンドポイント (ゲートウェイ型) を作成する。","EC2のセキュリティグループでインバウンドポート80および443を全開放する。",,"2","プライベートサブネット内のインスタンスがインターネットへのアウトバウンドアクセス（パッチのダウンロードなど）を必要とする場合、パブリックサブネットに配置されたNATゲートウェイを経由させるのが標準的な設計です。",1
"企業はAWS KMSのカスタマーマネージドキー(CMK)を使用して、S3バケット内の機密データを暗号化しています。キー管理のポリシーが変更され、現在のキーマテリアルが侵害された可能性があるため、既存の暗号化されたデータを読み取れる状態を維持しつつ、直ちに新しいキーマテリアルで新しいデータの暗号化を開始したいと考えています。手動でのキーのローテーションを実装する最適な手順はどれでしょうか。","KMSの自動キーローテーション機能を有効にする。","新しいKMSキー(CMK)を作成し、アプリケーションのエイリアス(Alias)を新しいキーに向けるよう更新する。","既存のKMSキーを削除し、同じ名前で新しいキーを作成する。","S3バケットのデフォルト暗号化を一時的に無効にし、再度有効にする。",,"2","既存のデータへのアクセスを維持しつつ手動でキーをローテーションする場合、新しいCMKを作成し、アプリケーションが参照しているキーのエイリアス(Alias)を新しいCMKに付け替えることで、ダウンタイムなしに切り替えが可能です。",1
"オンプレミスのMySQLデータベースをAWSに移行する予定です。データベースの管理（OSのパッチ適用、バックアップ、フェイルオーバーの構成など）にかかる運用オーバーヘッドを最小限に抑えつつ、移行後もMySQLの互換性を維持できるフルマネージドサービスはどれでしょうか。","Amazon EC2上にMySQLをインストールする。","Amazon RDS for MySQL","Amazon DynamoDB","Amazon Redshift",,"2","Amazon RDS for MySQLはフルマネージド型のリレーショナルデータベースサービスであり、バックアップ、ソフトウェアのパッチ適用、自動フェイルオーバーなどをAWSが管理するため、運用負荷を劇的に軽減できます。",2
"企業は、複数アカウント環境でAWSリソースの構成履歴を記録し、特定のリソース（例：セキュリティグループ）の設定が変更された際にコンプライアンス要件（例：ポート22が世界中に開放されていないか）を自動的に評価したいと考えています。使用すべきAWSサービスはどれでしょうか。","AWS CloudTrail","Amazon GuardDuty","AWS Config","AWS Systems Manager",,"3","AWS Configは、AWSリソースの設定を継続的に監視・記録し、定義したセキュリティやコンプライアンスのルール（例：無制限のSSHアクセス禁止）に違反する変更が行われた場合に自動的に評価・通知するサービスです。",1
"あるアプリケーションは、ユーザーからアップロードされた動画を処理します。Webサーバーは動画を受け取ると、非同期でバックエンドのワーカーに処理を依頼します。トラフィックの急増時にワーカーが処理しきれずにタスクが失われないように、Webサーバーとワーカーを疎結合にするサービスはどれでしょうか。","Amazon SNS","Amazon SQS","AWS Step Functions","Amazon EventBridge",,"2","Amazon SQS (Simple Queue Service) は、システムコンポーネント間の非同期通信キューを提供し、プロデューサー（Webサーバー）からのタスクをバッファリングしてコンシューマー（ワーカー）が自身のペースで処理できるようにします。",2
"AWS上でディザスタリカバリ(DR)環境を構築しています。目標復旧時間(RTO)と目標復旧時点(RPO)をできる限り短く（ゼロに近いレベルで）維持しつつ、アクティブ-アクティブの構成で複数リージョンにトラフィックを分散させるAmazon Route 53のルーティングポリシーはどれでしょうか。","フェイルオーバールーティング","レイテンシーベースルーティング または 加重ルーティング","シンプルルーティング","複数値回答ルーティング",,"2","アクティブ-アクティブのマルチリージョンDR構成では、レイテンシーベースルーティング（ユーザーに最も近いリージョンへ）や加重ルーティング（指定した比率で分散）を使用してトラフィックを複数の正常なエンドポイントに分散させます。",2
"監査チームから、過去1年間にAWSアカウント内で「誰が」「いつ」「どのアクション（API呼び出し）」を実行したかの詳細な履歴を提出するよう求められました。また、そのログファイルが改ざんされていないことを証明する必要があります。これを満たす構成はどれでしょうか。","AWS CloudTrailを有効にし、ログファイルの整合性検証（Log File Validation）をオンにする。","Amazon CloudWatch LogsにAPIアクションを出力し、KMSで暗号化する。","AWS Configの構成履歴をS3に保存する。","AWS Artifactからコンプライアンスレポートをダウンロードする。",,"1","CloudTrailはAPI操作履歴を記録します。「ログファイルの整合性検証」を有効にすると、生成されたログファイルに対してSHA-256を用いたデジタル署名が作成され、改ざんがないことを数学的に証明できます。",1
