question,option1,option2,option3,option4,option5,answer,explanation,domain
"データベースのワークロードが非常にI/O集約型であり、ストレージレイテンシーの変動を許容できません。Amazon EC2インスタンスのネットワークに影響されず、インスタンスと直接物理的に接続された最高レベルのブロックストレージI/Oパフォーマンスが必要な場合、何を使用すべきですか？","Amazon EBS 汎用SSD (gp3)","Amazon EFS (Max I/Oモード)","EC2 インスタンスストア (Instance Store)","Amazon S3",,"3","EC2インスタンスストアは、ホストコンピューターに物理的にアタッチされたNVMe SSDストレージを提供します。ネットワークを経由しないため、EBSよりも極めて低いレイテンシーと高いI/Oパフォーマンスを提供しますが、データは一時的です。",3
"複数のWebサーバー(EC2)がSession情報を共有するためにデータベースを利用しています。しかし、セッションデータの読み書きによるデータベースの負荷が高まっています。パフォーマンスを向上させるために、セッションデータの保存先として推奨されるサービスはどれですか？","Amazon EBS","Amazon ElastiCache","Amazon S3","Amazon Redshift",,"2","セッションデータのように一時的で、マイクロ秒単位の高速な読み書きが求められるデータの保存先としては、インメモリデータストアであるAmazon ElastiCache（RedisまたはMemcached）が最適です。",3
"ある分析システムは、Amazon S3にある数十テラバイトのCSVファイルに対して1日に数回だけSQLクエリを実行します。データのETL（抽出・変換・ロード）処理や、データベースサーバーの管理を行わずに、S3のデータに直接クエリを実行できるサービスはどれですか？","Amazon RDS","Amazon Redshift","Amazon Athena","AWS Glue",,"3","Amazon Athenaは、S3内のデータに対して標準SQLを使用して直接クエリを実行できるサーバーレスのインタラクティブクエリサービスです。データのロードは不要で、実行したクエリのスキャン量に対してのみ課金されます。",3
"Application Load Balancer (ALB) を使用してトラフィックを分散しています。クライアントのIPアドレスに基づいて異なるリージョンやサーバーにトラフィックをルーティングすることはALBで可能ですか？","ALBの機能で直接クライアントIPに基づくルーティングが可能である。","ALBでは不可能だが、Amazon Route 53の地理的ルーティングや位置情報ルーティングを使用することで実現できる。","ALBのセキュリティグループで設定できる。","Network Load Balancer (NLB) に変更しなければならない。",,"2","ALB自体にはクライアントのIPベースや地理的なルーティング機能はありません。グローバルなトラフィックルーティング（地理的ルーティングなど）は、DNSレベルであるAmazon Route 53を使用して行います。",3
"会社は毎日数百万件のログファイルを生成し、Amazon S3に保存しています。過去90日間のログは分析のために頻繁にアクセスされますが、90日を過ぎたログはコンプライアンス目的で長期間保存されるものの、アクセスされることはほとんどありません。運用オーバーヘッドなしでストレージコストを最小化する方法はどれですか？","S3バケットでバージョニングを有効にする。","AWS Lambda関数を作成し、90日経過したオブジェクトを削除する。","S3ライフサイクルルールを作成し、作成から90日後にオブジェクトをS3 StandardからS3 Glacier Deep Archiveに移行する。","S3 Intelligent-Tieringを使用する。",,"3","保存期間とアクセスパターン（90日を境にアクセスがなくなる）が明確に予測可能な場合、S3ライフサイクルルールを使用して自動的に最も安価なGlacier Deep Archiveへ移行するのが最適なコスト削減策です。",4
"開発環境用にAmazon EC2インスタンス群を稼働させています。これらのインスタンスは平日の営業時間（午前9時〜午後6時）のみ必要であり、夜間や週末は全く使用されません。コストを削減するためのベストプラクティスはどれですか？","インスタンスをスポットインスタンスに置き換える。","AWS Instance Scheduler (またはEventBridgeとLambda) を使用して、営業時間外にインスタンスを自動的に停止する。","Compute Savings Plansを購入する。","Auto Scalingの最小容量を常に0に設定する。",,"2","営業時間外に確実に不要な開発環境は、自動起動・停止のスケジュールを組むことで、EC2のコンピューティングコストを約70%削減できます。スポットは予期せぬ中断があるため開発中の環境には不便な場合があります。",4
"新しいデータサイエンスプロジェクトのために、数週間にわたって数千台のAmazon EC2インスタンスによる大規模な並列計算が必要です。このワークロードは柔軟性があり、一部のインスタンスが途中で終了されても別のインスタンスで処理を再開できます。コンピューティングコストを最も削減できる購入オプションはどれですか？","オンデマンドインスタンス","スタンダードリザーブドインスタンス","スポットインスタンス","Dedicated Hosts (専用ホスト)",,"3","スポットインスタンスは、AWS内の未使用のEC2キャパシティを活用するため、オンデマンド料金から最大90%の割引を受けられます。中断が許容されるフォールトトレラントなワークロード（ビッグデータ分析など）に最適です。",4
"Amazon S3に保存された膨大なメディアファイルがあります。アクセスパターンは予測不可能で、一部のファイルは毎日アクセスされますが、他のファイルは数ヶ月アクセスされません。手動でストレージクラスを変更する手間をかけずに、自動的にコストを最適化するソリューションはどれですか？","S3 ライフサイクルルールで30日後にGlacierに移動する。","S3 Standard-IA (低頻度アクセス) クラスを使用する。","S3 Intelligent-Tiering クラスを使用する。","S3 One Zone-IA クラスを使用する。",,"3","S3 Intelligent-Tieringは、オブジェクトのアクセスパターンを継続的に監視し、アクセス頻度が低いデータを自動的に低コストのアクセス階層に移動させるため、予測不可能なワークロードのコスト最適化に最適です。",4
"企業は、1年間継続して安定したトラフィックを処理する本番環境のEC2インスタンス群と、AWS Fargateコンテナを持っています。EC2のインスタンスファミリー（例：m5からc5）を変更する可能性もあります。最も柔軟性が高く、コストを削減できる割引モデルはどれですか？","EC2 スタンダードリザーブドインスタンス","Compute Savings Plans","EC2 Instance Savings Plans","スポットインスタンス",,"2","Compute Savings Plansは最も柔軟性が高く、インスタンスファミリー、サイズ、OS、リージョンに関係なく、EC2、Fargate、Lambdaの利用に割引が適用されます。",4
"アプリケーションがAmazon S3とAmazon DynamoDBに対して大量のデータの読み書きを行っています。アプリケーションはプライベートサブネット内のEC2で稼働しており、NATゲートウェイ経由でこれらのAWSサービスにアクセスしているため、データ転送料金とNATゲートウェイの処理料金が高騰しています。コストを下げる方法はどれですか？","EC2インスタンスをパブリックサブネットに移動し、Elastic IPを割り当てる。","S3とDynamoDB用のゲートウェイVPCエンドポイントを作成し、プライベートサブネットのルートテーブルを更新する。","AWS Direct Connectを導入してオンプレミス経由でルーティングする。","NATゲートウェイをNATインスタンス(EC2)に置き換える。",,"2","S3とDynamoDB向けの「ゲートウェイ VPCエンドポイント」は無料で利用でき、NATゲートウェイを経由せずにAWSの内部ネットワークで直接通信するため、NATのデータ処理料金を完全に排除できます。",4
"AWS環境全体の利用状況を分析し、使用率が極端に低い（アイドル状態の）Amazon EC2インスタンスやAmazon RDSインスタンス、アタッチされていない（孤立した）EBSボリュームを特定して、コスト削減の推奨事項を自動的に提示してくれるサービスはどれですか？","AWS Cost Explorer","AWS Budgets","AWS Trusted Advisor","AWS Systems Manager",,"3","AWS Trusted Advisorは、AWS環境のベストプラクティスを評価し、「コスト最適化」のカテゴリで使用率の低いリソースやアイドル状態のリソースを特定し、無駄な支出を削減するための推奨事項を提供します。",4
"プロジェクトチームごとに異なるAWSアカウントを使用しており、AWS Organizationsで一元管理しています。会社全体でのストレージ使用量に基づいたS3のボリュームディスカウント（段階的料金）を最大限に活用するために、必要な設定は何ですか？","AWS Cost and Usage Report (CUR) を有効にする。","各アカウントでS3のクロスアカウントアクセスを許可する。","AWS Organizationsで「一括請求 (Consolidated Billing)」機能を使用する。","AWS Resource Access Manager (RAM) を使用する。",,"3","Organizationsの一括請求（コンソリデーティッドビリング）を使用すると、組織内のすべてのアカウントのS3ストレージ使用量などが合算して計算されるため、より安い料金階層（ボリュームディスカウント）が適用されやすくなります。",4
"社内の各部門がAWSリソースを構築する際、企業が承認した構成（特定のEC2インスタンスタイプのみ、特定のセキュリティ設定済みなど）のテンプレートのみをデプロイできるようにし、運用管理とコストの暴走を防ぐためのサービスはどれですか？","AWS CloudFormation","AWS Service Catalog","AWS Config","AWS OpsWorks",,"2","AWS Service Catalogを使用すると、組織はITサービスのカタログ（承認済みのCloudFormationテンプレート）を作成・管理し、ユーザーは許可された製品のみを一貫した設定でデプロイできるようになります。",4
"特定のAmazon S3バケットへのアクセスログを記録する必要があります。ただし、ログファイル自体が継続的に同じS3バケットに保存されると、ログがログを生む無限ループが発生し、ストレージコストが高騰する危険性があります。これを防ぐためのベストプラクティスは何ですか？","S3オブジェクトロックを有効にする。","サーバーアクセスログの配信先として、記録対象とは別の専用のS3バケットを指定する。","S3のバージョニングを一時停止する。","アクセスログではなくCloudTrailデータイベントのみを使用し、保存期間を1日にする。",,"2","S3のサーバーアクセスログを有効にする場合、ログの配信先バケットとして元のバケットと同じものを指定すると、ログ書き込み自体が新たなログを生成し無限ループになります。必ず別のバケットを指定する必要があります。",4
"Amazon DynamoDBテーブルを使用して、月ごとに開催されるキャンペーンのデータを保存しています。キャンペーン期間中（数日間）は非常に高い書き込みトラフィックが発生しますが、それ以外の期間はほとんどアクセスがありません。コスト効率とパフォーマンスを両立するテーブルの設定はどれですか？","プロビジョンドキャパシティモードに設定し、容量を高めに固定する。","プロビジョンドキャパシティモードでAuto Scalingを構成する。","オンデマンドキャパシティモードに設定する。","DynamoDB Accelerator (DAX) を導入する。",,"3","オンデマンドキャパシティモードは、トラフィックが予測不可能で短期間のスパイクがあるワークロードに最適です。キャパシティの管理が不要で、実行されたリクエストに対してのみ課金されるため、アイドル時のコストが無駄になりません。",4
"あるEC2インスタンスがパブリックインターネットに大量のデータを送信しており、高額なデータ転送アウト（Data Transfer Out）料金が発生しています。トラフィックの多くは静的な画像と動画ファイルです。このデータ転送コストを大幅に削減できるサービスアーキテクチャはどれですか？","トラフィックをNetwork Load Balancer (NLB) 経由にする。","静的ファイルをAmazon S3に移動し、Amazon CloudFront経由で配信する。","EC2インスタンスをプライベートサブネットに移動し、NATゲートウェイを使用する。","AWS Global AcceleratorをEC2の前に配置する。",,"2","EC2から直接インターネットへデータを転送する料金に比べ、CloudFrontからインターネットへのデータ転送料金の方が安価な場合が多く、S3からCloudFrontへの転送は無料です。これにより大幅なコスト削減とパフォーマンス向上が見込めます。",4
"会社は毎月のAWS利用料金が予算の1,000ドルを超過する可能性がある場合、事前にEメールで警告を受け取りたいと考えています。実際のコストだけでなく、予測コストに基づいたアラートを設定できるサービスはどれですか？","AWS Cost Explorer","AWS Budgets","Amazon CloudWatch Billing Alarms","AWS Pricing Calculator",,"2","AWS Budgetsを使用すると、カスタムのコストおよび使用量の予算を設定し、実際のコストまたは「予測コスト」が閾値を超えた場合にEメールやSNSでアラートを送信させることができます。",4
"企業が複数のアベイラビリティーゾーンにまたがるAuto ScalingグループでAmazon EC2インスタンスを実行しています。トラフィックの急増時に、新しいインスタンスが起動してアプリケーションがリクエストを処理できるようになるまで数分かかり、その間に一部のユーザーがエラーを受け取っています。これを防ぐための最適なスケーリング設定はどれですか？","ターゲット追跡スケーリングポリシーを使用し、スケールアウトのしきい値を低く設定する。","ステップスケーリングポリシーを使用し、スケールインを無効にする。","Auto Scalingのクールダウン期間を長くする。","EC2のウォームプール (Warm Pools) を設定して、事前初期化されたインスタンスを待機させる。",,"4","EC2 Auto Scalingのウォームプールを使用すると、OSの起動やアプリケーションの初期化が済んだ状態のインスタンスを待機させておくことができ、スケールアウト時の応答時間を大幅に短縮できます。",2
"開発チームが、AWS LambdaとAmazon API Gatewayを使用したサーバーレスアプリケーションを開発しています。毎月数百万回のリクエストがありますが、ほとんどのリクエストは同じパラメータを使用し、同じ静的なレスポンスを返します。コストを削減し、APIのレスポンス時間を短縮するための最適な方法はどれですか？","Lambda関数のメモリ割り当てを増やす。","API GatewayでAPIキャッシュを有効にし、TTLを設定する。","Amazon DynamoDB Accelerator (DAX) を導入する。","Application Load Balancer (ALB) をAPI Gatewayの代わりに使用する。",,"2","API Gatewayのキャッシュを有効にすることで、バックエンドのLambda関数を呼び出すことなくキャッシュされたレスポンスを即座に返すことができ、レイテンシーの短縮とLambdaの呼び出しコスト削減を実現できます。",4
"企業がコンテナ化されたWebアプリケーションをAWS上にデプロイしたいと考えています。このアプリケーションは、複数のコンテナインスタンスから同時に読み書きできる共有ファイルストレージを必要とします。また、開発チームはサーバーのプロビジョニングやOSのパッチ適用といったインフラストラクチャの管理タスクを一切行いたくないと考えています。この要件を満たす最適なアーキテクチャはどれですか？","Amazon Elastic Kubernetes Service (Amazon EKS) と Amazon EBS を使用する。","Amazon Elastic Container Service (Amazon ECS) と Amazon EC2 起動タイプを使用し、Amazon EFS をマウントする。","Amazon Elastic Container Service (Amazon ECS) と AWS Fargate 起動タイプを使用し、Amazon EFS をマウントする。","AWS Lambda と Amazon S3 を組み合わせて共有ストレージとして使用する。",,"3","AWS Fargateはサーバーの管理（プロビジョニングやパッチ適用）が不要なコンテナ向けサーバーレスコンピュートエンジンです。Amazon EFSは複数のFargateタスクから同時にマウントして読み書きできるフルマネージドな共有ファイルシステムであり、今回の要件に最適です。",3
