question,option1,option2,option3,option4,answer,explanation
"AWSの複数のアカウントにわたるセキュリティ設定を一括管理し、修正規制（Policy）を強制するサービスは？","AWS Firewall Manager","AWS Secrets Manager","AWS Shield","AWS KMS",1,"Firewall Managerを使用すると、組織全体にWAFやセキュリティグループのルールを一律で適用できます。"
"Amazon CloudWatch メトリクスにおいて、複数のメトリクスを使って計算（例：エラー数÷リクエスト数）を行う機能を何と呼びますか？","メトリクスフィルタ","メトリクス数式 (Math Expressions)","カスタムメトリクス","アグリゲーション",2,"数式を使用することで、エラー率や空き容量の割合といった高度な監視項目を生成できます。"
"AWS CloudTrail のログ（JSON）を、Amazon Athenaを使用して分析する際、データのスキーマを定義するために便利な機能は？","CloudTrail 証跡の作成","CloudTrail 統合 (Athena 用テーブルの作成)","AWS Glue エージェント","S3 インベントリ",2,"CloudTrailコンソールから数クリックで、Athenaで検索するためのテーブル構成を自動作成できます。"
"AWS Organizationsにおいて、管理アカウントの権限を最小限にし、特定の管理（例：StackSetsやConfig）をメンバーアカウントに委任する機能を何と呼びますか？","代理管理者 (Delegated Administrator)","パワーユーザー","アカウント共有","ルート移譲",1,"これにより、管理アカウントを直接操作するリスクを減らし、職務分掌を実現できます。"
"AWS Systems Manager Run Commandを使用すると、EC2インスタンスに対して一度に何台までコマンドを実行できますか？","1台ずつ","最大10台","数千台のインスタンスに並列で実行可能","制限なし",3,"大規模なフリートに対して、シェルスクリプトやAnsibleプレイブックなどを一斉に適用できます。"
"AWS Trusted Advisorにおいて、赤いアイコン（警告）が出た場合、どのような状態を指しますか？","正常","調査を推奨","重大な問題があり、即座のアクションが必要","コストがかかっている",3,"赤い警告は、セキュリティの不備（全開放のポートなど）や、リソースの枯渇の恐れがあることを示します。"
"Amazon CloudWatch LogsからAmazon S3へ、過去のログデータを一括でエクスポートする際にかかる料金は？","無料","データ転送量およびS3の保存料が発生する","エクスポート機能自体の月額料金","VPCエンドポイント料金",2,"エクスポート操作自体は低コストですが、データの移動量に応じた標準的な課金が発生します。"
"AWS Configの『アグリゲーター』という機能の主な目的は何ですか？","ログの圧縮","複数のアカウントやリージョンの設定データを1つのアカウントに集約して表示する","請求の合算","データのバックアップ",2,"全社的なコンプライアンス状況を、1つの管理アカウントから俯瞰して確認するために使用します。"
"AWS CloudTrail において、特定の操作（例：インスタンスの終了）が検知されたときに、リアルタイムで通知や自動処理を行いたい場合に連携させるサービスは？","Amazon CloudWatch Events (EventBridge)","Amazon S3","AWS Systems Manager","AWS Trusted Advisor",1,"CloudTrailのAPIイベントをEventBridgeで拾うことで、異常な操作を即座に検知・自動対応できます。"
"AWS Systems Managerにおいて、インスタンスの停止、AMIの作成、スナップショットの削除などの一連の操作を自動化するツールは？","SSM Automation","SSM Run Command","SSM Inventory","SSM Parameter Store",1,"Automationワークフローを作成することで、複雑な運用手順書（ランブック）を自動化できます。"
"Amazon CloudWatch Logs インサイトでクエリを実行する際、課金対象となるのは何ですか？","クエリの実行回数","スキャンされたログデータの量","クエリの結果行数","表示時間",2,"スキャン量に応じて課金されるため、期間を絞るなどの工夫がコスト削減に繋がります。"
"AWS Organizationsにおいて、アカウントの「タグ付け」を強制し、タグがないリソースの作成を禁止するポリシーは？","SCP","タグポリシー","バックアップポリシー","IAM ポリシー",2,"タグポリシーを使用すると、組織全体でタグの命名規則を統一し、コスト配分などを正確に行えるようになります。"
"Amazon CloudWatch アラームの状態が『INSUFFICIENT_DATA』になっている場合、どのような意味ですか？","正常","異常","判定に必要なデータ（メトリクス）が不足している","アラームが削除された",3,"メトリクスが送信されていない、または設定した期間に対してデータが少なすぎる場合にこの状態になります。"
"AWS Systems Managerにおいて、インスタンスにインストールされているソフトウェアの一覧やバージョン情報を収集する機能は？","SSM Inventory","SSM State Manager","SSM Patch Manager","SSM Parameter Store",1,"Inventory（インベントリ）を使用すると、管理下にある全サーバーの構成情報をカタログ化して検索・分析できます。"
"AWS CloudTrailにおいて、管理イベント（API操作）の履歴は標準で何日間、無料で確認できますか？","30日間","90日間","180日間","1年間",2,"CloudTrailコンソールの「イベント履歴」では、過去90日分を無料で閲覧・検索できます。それ以上は証跡(Trail)を作成してS3へ保存します。"
"AWSリソースの作成や更新、削除をテキスト形式（JSON/YAML）のテンプレートで定義し、自動化するインフラ構成管理サービスは？","AWS Config","AWS CloudFormation","AWS Systems Manager","AWS OpsWorks",2,"CloudFormation（IaC）を使用すると、環境の再現性を高め、ヒューマンエラーを削減できます。"
"AWS Organizationsにおいて、1つの組織に所属できる管理アカウントの数はいくつですか？","1つ","2つ","10個まで","制限なし",1,"組織を統括する管理アカウント（親）は必ず1つであり、そこからメンバーアカウントを招待・管理します。"
"Amazon CloudWatchにおいて、異常検知（Anomaly Detection）を有効にすると何が起きますか？","アラームが停止する","過去のデータから正常な変動範囲を機械学習し、そこから外れたときに通知する","ログを自動削除する","設定を元に戻す",2,"固定のしきい値を設定しにくいメトリクス（日次変動があるアクセス数など）の監視に有効です。"
"AWS Systems Manager Parameter Storeにおいて、機密情報を保存する際の推奨されるパラメータタイプは？","String","StringList","SecureString","SecureList",3,"SecureStringを使用すると、KMSで暗号化された状態で安全に保存され、閲覧には特定の権限が必要になります。"
"AWS CloudTrailの証跡（Trail）を「マルチリージョン」に設定するメリットは？","すべてのリージョンの操作ログを、1つのS3バケットにまとめて保存できる","料金が安くなる","日本国内の通信のみに制限できる","AWSサポートへの連絡が速くなる",1,"1つの設定で、将来的に新しく開始するリージョンの操作も自動的に記録対象に含まれるようになります。"
"AWS Configにおいて、設定変更が行われたとき、または一定時間おきにルール評価を実行するタイミングを何と呼びますか？","トリガー","スキャン周期","評価インターバル","チェックポイント",1,"構成変更時（変更トリガー）または定期（定期的トリガー）のどちらかを選択できます。"
"Amazon CloudWatch Logsのデータ転送量を削減するために有効な、OS側の設定はどれですか？（エージェント利用時）","ログを圧縮して送信する設定を有効にする","ログを毎日削除する","メトリクスフィルタをオフにする","EC2のインスタンスタイプを上げる",1,"CloudWatchエージェントにはデータを圧縮して送信する機能があり、ネットワーク負荷とコストを軽減できます。"
"AWS Systems Managerにおいて、ドキュメント（構成手順書）を共有する際、どのアカウントまで共有可能ですか？","自アカウント内のみ","特定のAWSアカウント、または全世界（パブリック）への共有が可能","ルートユーザーのみ","共有は不可能",2,"作成したSSMドキュメントは、プライベートに共有することも、コミュニティに公開することも可能です。"
"AWS Trusted Advisorにおいて、特定の項目のチェックを一時的に「除外」したい場合、どのように設定しますか？","チェックを削除する","除外（不表示）リストに追加する","IAMポリシーで制限する","AWSサポートへ電話する",2,"特定のチェックを無視するように設定することで、自分に関係のある項目だけに集中できます。"
"Amazon CloudWatch メトリクスにおいて、AWSリソースが削除された後、そのメトリクスデータはいつまで保持されますか？（15ヶ月保持の場合）","リソース削除と同時に消える","リソース削除後も15ヶ月間保持され、履歴として確認できる","24時間","7日間",2,"メトリクスデータはリソースの状態とは独立して保管されるため、過去のパフォーマンス分析が可能です。"
"AWS CloudTrail において、誰かが『CloudTrail の記録を停止させた』という操作自体は記録されますか？","記録される","記録されない","管理アカウントのみ記録される","メール通知時のみ記録される",1,"StopLogging などの操作も API 呼び出しとして記録されるため、不正なログ停止も後から追跡可能です。"
"AWS Systems Manager Run Commandにおいて、実行したコマンドの出力結果（ログ）を永続的に保存したい場合の保存先として正しい組み合わせは？","Amazon S3 または CloudWatch Logs","Amazon EBS または Amazon RDS","AWS Config","Parameter Store",1,"実行結果は標準ではSSM内に短期間しか残りませんが、S3等へ出力設定することで長期保存が可能です。"
"AWS Configのルールが『Non-compliant（非準拠）』になった際、管理者に即座に通知を飛ばすために組み合わせるサービスは？","Amazon SNS","Amazon S3","AWS CloudTrail","AWS Trusted Advisor",1,"ConfigのイベントをEventBridgeで拾い、SNSを通じてメールやSlackへ通知するのが一般的です。"
"AWS Organizationsにおいて、管理アカウントだけがアクセスできる「一括請求（Consolidated Billing）」のメリットに含まれないものはどれですか？","支払い窓口の1つへの集約","ボリュームディスカウントの適用","すべてのアカウントのIAMパスワードが見えること","リザーブドインスタンス（RI）の割引共有",3,"請求機能はあくまでお金の管理であり、メンバーアカウント内部のパスワードなどの個人情報を覗き見る機能ではありません。"
"Amazon CloudWatch Logsのエクスポート機能において、エクスポート先のS3バケットはどのリージョンにある必要がありますか？","どのリージョンでもよい","CloudWatch Logsと同じリージョン","米国東部（バージニア北部）","オンプレミス",2,"現状では、ログデータと同じリージョンのS3バケットを指定する必要があります。"
"AWS Systems Managerの『Inventory』機能において、収集した情報をSQLライクに分析するために連携できるサービスは？（コンソールから実行可能）","Amazon Athena","Amazon RDS","AWS Glue","Amazon Redshift",1,"Resource Data Syncを使用してS3へ情報を送り、Athenaで横断的に検索することが可能です。"
"AWS CloudTrailにおいて、不審なAPIアクティビティ（普段とは違う大量の削除操作など）を機械学習で自動検出し、通知してくれる機能は？","CloudTrail Insights","CloudWatch Alarms","Amazon GuardDuty","AWS Config",1,"Insightsを有効にすると、アカウントの標準的な活動パターン（ベースライン）からの乖離を検知してくれます。"
"Amazon CloudWatch Dashboardsにおいて、1つのグラフに異なる単位（例：CPU%とネットワークBytes）のメトリクスを並べて表示するための機能は？","2軸表示（左軸と右軸）","ログのインサイト","メトリクス数式","ダッシュボードの分割",1,"2つのY軸を使用することで、相関関係を視覚的に捉えやすくなります。"
"AWS Systems Managerにおいて、マネージドインスタンス（SSMが管理可能な状態）にするために最低限必要な3つの要素は？","SSMエージェント、ネットワーク疎通（API）、適切なIAMロール","OSのパスワード、パブリックIP、SSH鍵","ルートアカウント、22番ポート、S3バケット","CloudWatch、Config、CloudTrail",1,"これらが揃うことで、SSMコンソールから安全にリモート管理が可能になります。"
"AWS Organizationsにおいて、組織のすべての管理を完全に停止し、個別のアカウントに戻すことは可能ですか？（諸条件あり）","可能（組織の解散）","不可能","AWSサポートへの書面提出が必要","1年に1回のみ可能",1,"メンバーアカウントをすべて削除または削除（離脱）させた後、組織を解散させることができます。"
"Amazon CloudWatch において、EC2インスタンスの『詳細モニタリング』を有効にした場合のデータ収集間隔は？","1分間隔","5分間隔（標準）","1秒間隔","1時間間隔",1,"詳細モニタリングを有効にすると、追加料金がかかりますが、1分という高頻度での監視が可能になります。"
"AWS CloudTrail のログを複数のアカウントで共通のS3バケットに保存する際、セキュリティ上推奨される設定は？（書き込みに関する権限）","S3バケットポリシーで特定のアカウントからの書き込みを許可する","バケットをパブリックにする","すべてのユーザーにフルアクセスを与える","IAMグループを作成する",1,"バケット側（受け手）のポリシーを正しく設定し、各アカウント（送り手）が自分のフォルダへ書き込めるように制限します。 "
"AWS Config で「過去の設定状態」に戻す（ロールバック）機能は直接提供されていますか？","はい","いいえ（設定変更を検知して修復アクションを実行することで代替する）","特定のリージョンのみ提供されている","Windowsのみ可能",2,"Config自体は「記録」と「評価」のサービスです。元に戻すには、Systems ManagerやLambdaを使った自動修復を組み合わせて実現します。"
"AWS Systems Manager Parameter Storeにおいて、履歴（以前の値）を確認したり、古いバージョンに戻したりすることは可能ですか？","可能","不可能","有料版のみ可能","特定のキーのみ可能",1,"パラメータは更新されるたびにバージョンが上がり、過去の値を参照したり、特定のバージョンを取得したりできます。"
"Amazon CloudWatch において、メトリクスの収集が停止してしまった（データが送られてこなくなった）ことを検知するアラームの設定はどれですか？","欠落データの処理（Treat missing data as bad）","静的なしきい値","メトリクス数式","複合アラーム",1,"欠落データを「不正（不合格）」として扱う設定にすることで、データ停止時にアラームを鳴らすことができます。"
"AWS CloudTrail において、ログファイルの配信時にSNSへ通知を飛ばすことは可能ですか？","可能","不可能","特定のリージョンのみ可能","AWS CLIでのみ可能",1,"ログがS3に保存されたタイミングでSNS通知を送ることができ、プログラム処理のトリガーとして利用できます。"
"AWS Organizations において、一括請求（Consolidated Billing）を設定した場合、各アカウントの利用明細（請求書）を個別に分けることはできますか？","できます","できません（管理アカウントがまとめて支払うため、明細も統合される。ただしコスト配分タグなどで内訳は出せる）","管理アカウントだけ分けられる","有料オプションで可能",2,"支払いは1箇所にまとまりますが、コスト探索ツール（Cost Explorer）などを使えば、どのアカウントがいくら使ったかは明確に分かります。"
"AWS Systems Managerにおいて、インスタンスにログインせずに、現在実行中のプロセスやインストールされているパッチ状況をブラウザからリアルタイムで確認できる機能は？","Fleet Manager","Run Command","Parameter Store","Distributor",1,"Fleet Managerは、GUIで直感的に各インスタンスの内部状態をリアルタイム管理できる機能です。"
"AWS Configにおいて、特定のルールの評価結果が「準拠」から「非準拠」へ変わった際、その詳細（どの設定が原因か）を知るために併せて確認すべきサービスは？","AWS CloudTrail","Amazon CloudWatch","AWS Trusted Advisor","Amazon Inspector",1,"Configで変更を検知し、CloudTrailで「誰がどのような命令を出してその変更が起きたか」を突き止めるのが調査の王道です。"
"Amazon CloudWatch Logsにおいて、一定量以上のログが送信されないように制限（スロットリング）をかけることはできますか？","できない（送られてきた分だけ課金される）","できる","特定のユーザーのみできる","10MBまで可能",1,"CloudWatch Logsには上限設定がないため、アプリケーションが大量のログを吐き出すと、そのまま高額請求に繋がるリスクがあります。OS側での制御が必要です。"
"AWS Systems Manager において、ソフトウェアパッケージ（例：監視エージェント等）を定義し、複数のインスタンスへ配布・インストール管理を行う機能は？","SSM Distributor","SSM Run Command","SSM Inventory","SSM Session Manager",1,"Distributor（ディストリビューター）を使用すると、独自ソフトやAWS公式ソフトの配布・更新をバージョン管理付きで行えます。"
"AWS Organizations において、メンバーアカウントを組織から「削除（離脱）」させるために必要な条件はどれですか？（アカウント自体の削除ではない場合）","支払情報の登録や契約への同意など、そのアカウントが単独で存在できる状態になっていること","ルートユーザーが退職していること","10年経過していること","AWSサポートの許可",1,"一括請求から外れても単独で支払いができる状態（クレジットカード登録等）を整える必要があります。"
"Amazon CloudWatch アラームのアクションとして設定できる項目に含まれないものはどれですか？","SNS通知の送信","EC2インスタンスの停止、終了、再起動、または復旧","Auto Scaling グループのスケーリング実行","S3バケットの自動削除",4,"アラームは通知やコンピューティングの制御は得意ですが、ストレージ上のデータの削除などは直接実行できません。"
"AWS CloudTrail において、ログファイルがS3に保存される際に暗号化することは可能ですか？","可能（SSE-S3またはSSE-KMSを使用）","不可能","SSE-Cのみ可能","最初から強制的に暗号化されている",1,"デフォルトでも暗号化されますが、KMSキーを使用して独自の管理下で暗号化を強化することも可能です。"
"AWS Systems Managerにおいて、OSを起動した瞬間に自動的に特定のスクリプトや設定を適用させる機能は？（EC2のユーザーデータとは別の、SSM側の機能）","State Manager","Inventory","Patch Manager","Run Command",1,"State Managerに定義を登録しておくと、インスタンスがSSMに接続した瞬間に構成をチェックし、必要なら修正を行います。"
"AWS Configにおいて、リソースが削除された後も、そのリソースの過去の構成履歴を確認することはできますか？","できる","できない","24時間だけできる","有料プランならできる",1,"Configは履歴を保存しているため、現在存在しないリソースが、消される前にどのような設定だったかを調べることができます。"
"AWS Trusted Advisorにおいて、セキュリティに関する5つの無料チェック項目（全ユーザー対象）に含まれるものはどれですか？（代表例）","全開放のセキュリティグループ（0.0.0.0/0）の有無","IAMパスワードの複雑さ","VPCのサブネット数","インスタンスの稼働時間",1,"ポート22や80などが世界中に開放されているといった、初歩的で致命的な設定ミスを無料で教えてくれます。"
"Amazon CloudWatch Dashboards を外部の人（AWSアカウントを持っていない人）に公開することは可能ですか？","可能（共有用リンクの発行）","不可能","PDFでのみ可能","特定のドメイン限定なら可能",1,"ダッシュボードを公開設定（パブリックまたは指定された認証方法）にすることで、モニタリング情報をチーム外へ共有できます。"
"AWS Organizationsにおいて、管理アカウント自身の操作ログもCloudTrailで記録されますか？","記録される","記録されない","管理アカウントだけはCloudWatchに記録される","設定画面のみ記録される",1,"管理アカウントも1つのAWSアカウントであるため、通常通りすべてのAPI操作がCloudTrailに記録されます。"
"AWS Systems Managerにおいて、ドキュメントの「バージョン管理」はどのように行われますか？","上書き保存されるだけ","更新のたびに新しいバージョン番号が付与され、デフォルトで使用するバージョンを指定できる","10世代まで保存される","手動で名前を変える必要がある",2,"古いバージョンのドキュメントを残しつつ、検証が終わった最新版を「デフォルト」に昇格させるといった安全な運用が可能です。"
"Amazon CloudWatch Logsにおいて、保存されているログの「保持期限」を途中で変更した場合、既存の古いログはどうなりますか？","そのまま残る","新しい保持期限に基づいて即座に整理（削除）の対象になる","新しく届いたログから適用される","エラーになる",2,"保持期間を短縮すると、その期間を過ぎている古いログは順次自動的に削除されます。"
"AWS Configで取得した構成情報を、Amazon Athenaなどを使って長期間にわたり分析したい場合に適した出力機能は？","構成スナップショットのS3出力","SNS通知","構成ストリーム","AWS Artifact",1,"構成スナップショットをS3へ定期的に出力することで、全リソースのインベントリをDB感覚で検索できるようになります。"
"AWS CloudTrailにおいて、管理イベント（API操作）の記録を完全に「オフ」にすることはできますか？","できる","できない（少なくとも1つの証跡が必要）","東京リージョンのみできる","ルートユーザーのみできる",1,"記録を止めることは可能ですが、セキュリティ上のリスクが極めて高いため、AWSは常に少なくとも1つの証跡を稼働させることを推奨しています。"
"AWS Systems Manager Explorerの主な役割は何ですか？","ログの検索","AWSリソースの運用データ（OpsItems）をダッシュボードに集約し、問題の全体像を把握する","ファイルの転送","請求書の作成",2,"複数のソースからあがってくる運用上のアラートや問題を、優先順位を付けて一括管理するための司令塔的な機能です。"
"AWS Organizationsにおいて、子アカウントが作成したリザーブドインスタンス(RI)の割引を、同じ組織内の別のアカウントが共有して受けることは可能ですか？","可能（デフォルトで共有されるが、オフにもできる）","不可能","同じOU内なら可能","特定のリージョンのみ可能",1,"組織内であればRIやSavings Plansの割引を余らせることなく効率的に使い切ることができます。"
