question,option1,option2,option3,option4,answer,explanation
"VPC内のEC2からS3へアクセスする際、インターネットを通らず、かつルートテーブルにターゲットを追加するだけで済む接続方法は？","NAT ゲートウェイ","インターフェイス型VPCエンドポイント","ゲートウェイ型VPCエンドポイント","VPC ピアリング",3,"S3とDynamoDBに提供されているゲートウェイ型エンドポイントは、無料で利用でき、設定も容易です。"
"アプリケーションが22番(SSH)ポートを開放せずにEC2にログインし、すべての操作ログを保存したい。どの機能を使うべきか？","AWS Client VPN","Systems Manager Session Manager","EC2 Instance Connect","Direct Connect",2,"Session Managerを使用すれば、ポート開放なしでブラウザ等からログインでき、操作ログもCloudWatch Logsに保存されます。"
"3層Webアーキテクチャ（Web, App, DB）において、セキュリティグループの設定でDB層へのアクセスを許可すべきソースはどれか？","0.0.0.0/0 (全開放)","App層のセキュリティグループID","Web層のパブリックIP","VPCのインターネットゲートウェイ",2,"セキュリティグループはIDを指定して参照し合うことで、IPアドレスが動的に変わっても通信を許可できるステートフルな設計が可能です。"
"Amazon Auroraで、異なるリージョンへの災害復旧（DR）を最短の目標復旧時間（RTO）で実現したい。最適な構成は？","S3へスナップショットをコピー","Aurora グローバルデータベース","DMSによる同期","VPCピアリングでレプリケーション",2,"Global Databaseはストレージベースのレプリケーションを使用し、他リージョンへのフェイルオーバーを1分未満で行えます。"
"API Gatewayにおいて、特定のユーザーにのみ1秒間に10回までのリクエストに制限をかけたい。どの機能を使うべきか？","WAFのレートベースルール","使用プラン（Usage Plan）とスロットリング","IAMポリシー","Lambdaオーソライザー",2,"使用プランを作成しAPIキーに紐付けることで、ユーザーごとの制限(クォータとスロットリング)が可能です。"
"ELBを介してWebサーバーを運用しているが、特定の攻撃元IPからのアクセスを即座にブロックしたい。どこで設定すべきか？","セキュリティグループ","ネットワークACL (NACL)","ルートテーブル","IAM",2,"NACLはステートレスであり、特定のIPアドレスを指定して「拒否(Deny)」ルールを記述できるため、ブラックリスト対応に最適です。"
"複数のAWSアカウントを運用しており、各アカウントの利用料金を1つの管理アカウントに統合して、全体で割引を適用させたい。サービスは？","AWS Budgets","AWS Organizations","AWS Cost Explorer","AWS Trusted Advisor",2,"Organizationsの一括請求(Consolidated Billing)を利用すると、ボリュームディスカウントを組織全体で共有できます。"
"EC2インスタンスで、1秒間隔の詳細なメモリ使用率をグラフ化したい。デフォルトのCloudWatchで可能か？","可能","不可能（CloudWatchエージェントの導入が必要）","詳細モニタリングをオンにすれば可能","CloudTrailを有効にすれば可能",2,"メモリ使用率はOS内部の情報であるため、標準メトリクスには含まれず、エージェントの導入が必要です。"
"AWS KMSを使用してデータを暗号化しているが、キーの使用履歴を監査したい。どのサービスで確認できるか？","AWS CloudWatch","AWS CloudTrail","AWS Config","Amazon GuardDuty",2,"KMSの鍵の使用（解読や生成など）はすべてAPI呼び出しとしてCloudTrailに記録されます。"
"S3に保存された大量のCSVデータに対して、サーバーを立てずに標準的なSQLを使って直接分析を行いたい。最適なサービスは？","Amazon Redshift","Amazon Athena","Amazon RDS","AWS Glue",2,"AthenaはS3上のデータをスキーマ定義するだけで、即座にSQL分析が可能なサーバーレスのクエリサービスです。"
"Route 53を使用して、プライマリサイトがダウンした際に自動的にバックアップサイト（S3静的ホスティング）へ切り替えたい。設定すべきは？","加重ルーティング","フェイルオーバールーティング","レイテンシルーティング","マルチバリュー回答ルーティング",2,"フェイルオーバールーティングを設定し、ヘルスチェックと連動させることで自動切り替えが可能です。"
"DynamoDBで、書き込み負荷が激しく、将来的に予測不能なスパイクが発生する可能性がある。最も運用負荷が低いキャパシティ設定は？","プロビジョニング済み(Auto Scalingあり)","オンデマンドキャパシティモード","リザーブドキャパシティ","リードレプリカの追加",2,"オンデマンドモードは、事前の見積もりなしにリクエスト量に応じて自動でスケーリングします。"
"Lambda関数の処理時間が15分を超えてしまうことがわかった。設計をどう変更すべきか？","メモリを最大にする","Step Functionsを使用して処理を分割・調整する","タイムアウト設定を1時間に伸ばす","EC2インスタンスに変更する",2,"Lambdaの15分制限を回避するには、Step Functionsでワークフロー化して分割処理するのがクラウドネイティブな正解です。"
"AWS Organizationsにおいて、子アカウントのルートユーザーを含め、特定のサービス（例：Redshift）の使用を完全に禁止したい。どの機能を使うか？","IAM ポリシー","サービスコントロールポリシー (SCP)","AWS Config","Amazon GuardDuty",2,"SCPは組織内の全ユーザー（ルート含む）に対して、利用可能なサービスの最大権限を制限できます。"
"複数のVPCとオンプレミス拠点がある。これらをハブ＆スポーク構成で効率的に相互接続したい。最適なサービスは？","VPC ピアリングの連鎖","AWS Transit Gateway","AWS Direct Connectのみ","Software VPN",2,"Transit Gatewayはハブとして機能し、多数のネットワーク接続を中央で一元管理できます。"
"S3のバケットに機密データが保存されており、意図せずパブリック公開されることを防ぐための最も強力なガードレールは？","IAMポリシーの徹底","S3 ブロックパブリックアクセス (アカウントレベル)","バケットポリシーのDeny","S3 オブジェクトロック",2,"アカウントレベルの「ブロックパブリックアクセス」は、個別の設定ミスを上書きして公開を阻止します。"
"EC2のルートボリューム（EBS）を、インスタンスを削除しても残るようにしたい。どの設定を変更すべきか？","DeleteOnTermination を False に設定","スナップショットを毎日撮る","AMIを作成する","リードレプリカを構成する",1,"デフォルトではルートボリュームは削除されますが、このフラグをオフにすることで維持可能です。"
"DynamoDBで、過去35日間の任意の時点の状態にデータを復元できるようにしたい。有効にすべき機能は？","オンデマンドバックアップ","ポイントインタイムリカバリ (PITR)","DynamoDB Streams","グローバルテーブル",2,"PITRを有効にすると、1秒単位の精度で過去35日分を新しいテーブルとして復元できます。"
"SQSを使用して注文処理を実装しているが、同じ注文が2回処理されることを防ぎたい（重複排除）。どの設定が必要か？","標準キューで可視性タイムアウトを長くする","FIFOキューを使用し、メッセージ重複排除IDを付与する","SNSを前段に置く","Lambdaのメモリを増やす",2,"FIFOキューは正確に一度だけの処理（Exactly-once）と順序保証を提供します。"
"WebサーバーへのDDoS攻撃（レイヤー3/4）に対する追加料金なしの標準保護を提供しているサービスは？","AWS WAF","AWS Shield Standard","Amazon Inspector","Amazon GuardDuty",2,"Shield StandardはすべてのAWSユーザーに自動適用されているネットワーク層の保護サービスです。"
"既存のOracleデータベースを、ダウンタイムを最小限にしてAWSのAmazon Auroraへ移行したい。組み合わせるべきツールは？","Snowball + S3","SCT (Schema Conversion Tool) + DMS (Database Migration Service)","DataSync","CloudFormation",2,"SCTでスキーマを変換し、DMSでデータを継続的に同期させるのが標準的な移行パターンです。"
"SQSのコンシューマー（読み取り側）のコストを削減したい。メッセージがない時にすぐにレスポンスを返さないようにする設定は？","ショートポーリング","ロングポーリング","デッドレターキュー","遅延タイマー",2,"ロングポーリングを有効にすると、空の応答が減り、APIリクエスト回数を大幅に削減できます。"
"ハイパフォーマンスコンピューティング(HPC)において、インスタンス間で極めて低いレイテンシと高いネットワークスループットが必要な際に使用するインターフェースは？","ENI","EFA (Elastic Fabric Adapter)","NAT ゲートウェイ","ENA",2,"EFAはNitroベースのインスタンスでOSバイパス通信を行い、HPCのパフォーマンスを最大化します。"
"VPCにおいて、新しいサブネットを作成した。デフォルトでこのサブネットは何ができるか？","インターネットに繋がる","VPC内の他のサブネットと通信できる","全アカウントに公開される","S3をマウントできる",2,"すべてのルートテーブルにはVPC内通信を許可する『Local』ルートが自動で含まれています。"
"AWS CloudTrailのログが第三者によって書き換えられていないことを証明したい。どの機能を使うか？","S3 サーバーアクセスログ","ログファイルの整合性検証","AWS Config","Amazon Macie",2,"整合性検証を有効にすると、ログ配信後にハッシュ値で改ざんの有無をチェックできます。"
"EC2インスタンスのCPU使用率が低い（アイドル状態）ものを特定し、コスト削減のために削除を提案してくれるサービスは？","AWS Budgets","AWS Trusted Advisor","AWS Cost Explorer","AWS Systems Manager",2,"Trusted Advisorは、利用率の低いリソースを特定し、コスト最適化の提案をしてくれます。"
"多数のLambda関数で共通して使用する重い外部ライブラリがある。デプロイパッケージを軽くし、管理を容易にする方法は？","S3に置く","Lambda レイヤーを使用する","EC2に変更する","メモリを増やす",2,"Lambdaレイヤーを使うと、ライブラリを別パッケージとして管理し、複数の関数で共有できます。"
"EFSを利用しているが、アクセス頻度が低いファイルを安価なストレージ層へ自動的に移動させたい。どう設定するか？","S3 ライフサイクルポリシー","EFS ライフサイクル管理","EBS スナップショット","Storage Gateway",2,"EFSライフサイクル管理を有効にすると、一定期間アクセスのないファイルをIAクラスへ自動移行します。"
"AWSアカウントに、特定の国（例：日本）以外からのマネージドコンソールへのログインを禁止したい。どこで設定するか？","セキュリティグループ","IAM ポリシーの Condition (aws:SourceIp)","ルートテーブル","VPC エンドポイント",2,"IAMポリシーの条件要素に発信元IP制限を加えることで、特定のネットワークからのみ操作を許可できます。"
"DynamoDBで、1GBあたりのコストが最も低い、アクセス頻度が極めて低いデータ向けのストレージクラスは？","DynamoDB 標準","DynamoDB 標準-低頻度アクセス (Standard-IA)","DynamoDB キャッシュ","DynamoDB グローバル",2,"Standard-IAクラスを使用すると、ストレージ料金を大幅に削減できます（読み書き料金は高くなります）。"
"EC2インスタンスをハイブリッド環境（オンプレ含む）で一括管理し、ブラウザからターミナル操作したい。必要なものは？","SSHキーペア","SSM エージェントと適切なIAMロール","VPN接続","パブリックIP",2,"SSMエージェントが導入されていれば、Session Manager経由でどこからでも管理可能です。"
"S3の署名付きURLを発行する際、権限のベースとなるのは誰か？","バケット所有者","URLを発行したエンティティ（ユーザー/ロール）の権限","ゲストユーザー","AWS ルートユーザー",2,"署名付きURLは、それを発行したユーザーが持つ権限を超えてアクセスを許可することはできません。"
"Direct Connectを使用してAWSとオンプレミスを繋いでいるが、物理的な断線に対する冗長性を「最も安価に」確保したい。構成は？","もう1本 Direct Connect を追加する","バックアップとして Site-to-Site VPN を設定する","4G回線を使う","Snowballを使う",2,"メインを専用線、バックアップを安価なインターネットVPNにするのがコスト効率の良い冗長構成です。"
"Aurora Serverless v2が、v1と比べて大きく進化した点は？","S3にデータを置けること","スケール速度がミリ秒単位になり、より細かい単位での調整が可能になったこと","料金が無料になったこと","1つのAZのみ対応になったこと",2,"v2は非常に高速かつ細かくスケーリングし、ミッションクリティカルなDBにも対応可能です。"
"AWS Trusted Advisorの5つのカテゴリに含まれないものはどれですか？","コスト最適化","セキュリティ","パフォーマンス","開発スピード",4,"Trusted Advisorの5分野は、コスト、セキュリティ、パフォーマンス、耐障害性、サービス制限の緩和です。"
"Amazon SQSでメッセージの順序を厳密に守る必要がある場合、何を使うべきか？","標準キュー","FIFO キュー","デッドレターキュー","優先度付きキュー",2,"FIFO (First-In-First-Out) キューは、送信された順序通りの配信を保証します。"
"VPC内の特定サブネットから、S3への通信ログ（宛先IPやポートなど）を取得したい。どの機能を使うか？","CloudTrail","VPC フローログ","S3 サーバーアクセスログ","IAM ログ",2,"VPCフローログは、インターフェースを通過する全IPトラフィックを記録するのに適しています。"
"EC2インスタンスの購入オプションで、1年または3年の期間、一定量のコンピューティング使用（$10/時間など）をコミットする契約は？","リザーブドインスタンス","Savings Plans","スポットインスタンス","オンデマンドインスタンス",2,"Savings Plansは、インスタンスファミリーをまたいでも割引が適用される柔軟な割引モデルです。"
"オンプレミスのファイルサーバーをAWSへ移行したいが、既存のWindowsアプリとの互換性（SMB, AD連携）を維持したい。最適なサービスは？","Amazon EFS","Amazon FSx for Windows File Server","Amazon S3","AWS Storage Gateway",2,"FSx for Windowsは、Windowsネイティブなファイル共有機能をフルマネージドで提供します。"
"AWS CloudTrailのログを、SQLを使って詳細に分析したい。どのサービスと連携させるのが一般的か？","Amazon RDS","Amazon Athena","Amazon QuickSight","AWS Config",2,"CloudTrailログはS3に保存されるため、Athenaを使えばサーバーレスにSQL分析が可能です。"
"ELB（Application Load Balancer）において、送信元IPアドレスを維持したままバックエンドに伝えるために使用されるヘッダーは？","X-Forwarded-For","User-Agent","Host","Content-Type",1,"ALBはプロキシとして動作するため、クライアントのIPは X-Forwarded-For ヘッダーに格納されます。"
"S3 Glacierにおいて、数分以内にデータを取り出す必要がある。どの取り出しオプションを選択すべきか？","標準取り出し","迅速 (Expedited) 取り出し","大容量取り出し","即時取り出し",2,"迅速取り出しオプションを使えば、通常1〜5分でアーカイブデータにアクセスできます。"
"EC2インスタンスを別のリージョンへコピーしたい。正しい手順は？","インスタンスを停止して、そのまま移動ボタンを押す","AMIを作成し、そのAMIを別リージョンへコピーしてから起動する","VPCピアリングを繋ぐ","S3へエクスポートする",2,"AMIをリージョン間でコピーするのが、構成を維持したまま別リージョンへ展開する標準的な方法です。"
"VPC内のプライベートサブネットから、特定の外部APIにHTTPS接続したい。何が必要か？（IPv4環境）","インターネットゲートウェイ","NAT ゲートウェイ","VPC ピアリング","S3 エンドポイント",2,"プライベートサブネットから外へ出るためには、パブリックサブネットに配置されたNATゲートウェイが必要です。"
"Amazon DynamoDBにおいて、テーブル全体の読み込みパフォーマンスをミリ秒からマイクロ秒へ向上させるためのキャッシュは？","Amazon ElastiCache","DynamoDB Accelerator (DAX)","Redis","Global Tables",2,"DAXはDynamoDB専用のインメモリキャッシュで、アプリケーション側の変更も最小限で導入可能です。"
"AWS Organizationsにおいて、新しいアカウントを自動的に作成し、初期設定まで完了させたい。最適なサービスは？","AWS CloudFormation StackSets","AWS Control Tower","IAM Identity Center","AWS Config",2,"Control TowerはOrganizationsと連携し、規約に準拠したアカウントの自動セットアップ（ガードレール付）を支援します。"
"EC2インスタンスが物理ハードウェアの故障で停止した。自動的に別のホストで再起動させる方法は？","手動で再起動する","CloudWatchアラームの『復旧 (Recover)』アクションを設定する","Auto Scalingを1台で構成する","何もしない",2,"CloudWatchアラームの復旧アクションを使えば、インスタンスIDやIPを維持したまま別ホストで自動復旧可能です。"
"CloudFrontにおいて、特定のリージョンのユーザー（例：日本国外）からのアクセスを完全に遮断したい。機能は？","WAF","地理的制限 (Geo Restriction)","IAM","ルートテーブル",2,"CloudFrontの標準機能である地理的制限を使えば、国単位でのアクセス許可・拒否が可能です。"
"S3に保存された機密データ（クレジットカード番号等）を機械学習で自動検出し、分類・保護するサービスは？","Amazon GuardDuty","Amazon Macie","Amazon Inspector","AWS Shield",2,"MacieはS3専用のデータセキュリティ・プライバシーサービスで、機密情報の発見に特化しています。"
"ネットワークACL(NACL)のルールを評価する順番は？","番号が大きい順","番号が小さい順","ランダム","アルファベット順",2,"NACLはルール番号の小さい順に評価され、一致した時点でそれ以降の評価は行われません。"
"Route 53で『エイリアスレコード』を使用するメリットは？","無料である（Route 53内でのAWSリソース指定）","全世界で共通のIPになる","IPv6のみ対応","設定が複雑になる",1,"エイリアスレコードは特定のAWSリソースを指す場合、クエリ料金がかからずパフォーマンスも優れています。"
"AWS Systems Managerの『Patch Manager』の主な役割は？","新しいOSをインストールする","EC2やオンプレミスサーバーへのセキュリティパッチ適用を自動化する","パスワードを変更する","ウイルスを駆除する",2,"定義したパッチ適用ルール(パッチベースライン)に従って、自動的に更新作業を行えます。"
"API Gatewayの背後にLambdaがあり、処理に40秒かかる。このAPIはどうなるか？","正常に終了する","タイムアウトする (上限29秒)","自動的にEC2に切り替わる","リトライされる",2,"API Gatewayの最大タイムアウトは29秒固定です。長時間の処理は非同期（SQS等）にする必要があります。"
"AWS Organizationsにおいて、管理アカウントのみがアクセスできる『一括請求』のメリットは？","各アカウントのIAMパスワードがわかる","ボリュームディスカウントの適用と、RI/SPの割引共有","AWSサポートが無料になる","データのバックアップが自動化される",2,"組織全体の使用量を合算することで、より上位の割引段階が適用され、コストが削減されます。"
"Amazon S3で、10MB以下の小さなオブジェクトが大量にあり、アクセス頻度は低い。最適なストレージクラスは？","S3 Standard-IA","S3 Standard","S3 Glacier","S3 Intelligent-Tiering",2,"IAクラスやGlacierは128KB未満のオブジェクトでも128KB分課金されるため、極小ファイルが大量にある場合はStandardが安くなることがあります。"
"AWS Configのルールに違反したリソース（例：暗号化されていないEBS）を自動的に修正したい。何と組み合わせるか？","Amazon SNS","SSM Automation (修復アクション)","CloudTrail","AWS Trusted Advisor",2,"Configの修復アクションにSSMオートメーションを紐付けることで、自動的な構成是正が可能です。"
"Amazon CloudWatch Logsの保持期間のデフォルトは？","1ヶ月","1年","無期限","削除される",3,"デフォルトは無期限保存です。コストを抑えるには、30日や1年などの保持期限を明示的に設定する必要があります。"
"AWS Direct Connectを導入したが、AWS側の接続ポイントとして『複数のリージョンのVPC』と接続したい。何を使うか？","VPC ピアリング","Direct Connect Gateway","Transit Gateway","NAT ゲートウェイ",2,"Direct Connect Gatewayを使用すると、1つの専用線接続で世界中のリージョン（中国除く）のVPCに接続可能です。"
"S3バケットをWebサイトとして公開しているが、独自ドメイン(www.example.com)を使いたい。連携サービスは？","AWS Direct Connect","Amazon Route 53","AWS Transit Gateway","Amazon Connect",2,"Route 53でAレコード（エイリアス）を作成してS3バケットに向けることで実現できます。"
"EC2インスタンスのOSがフリーズした。AWS側で検知できるメトリクスはどちらか？","システムステータスチェックの失敗","インスタンスステータスチェックの失敗","CPU使用率 100%","ディスク容量不足",2,"インスタンスステータスチェックは、OSやソフトウェアの動作不全（ハング等）を検知します。"
"AWS CloudTrailの証跡を『すべてのリージョン』に設定するメリットは？","料金が安くなる","将来追加される新しいリージョンのログも自動的に記録される","通信が速くなる","日本語のサポートが受けられる",2,"マルチリージョン設定にしておけば、1つの設定で全リージョンの操作を漏らさず記録できます。"
"AWS Systems Manager Parameter Storeにおいて、パスワードを安全に保存するためのタイプは？","String","StringList","SecureString","SecretKey",3,"SecureStringを選択すると、KMSで暗号化されて保存され、参照時に復号されます。"
"Amazon S3のクロスリージョンレプリケーション(CRR)において、削除されたオブジェクトはどうなるか？","自動的に削除される","削除マーカーの同期設定によるが、基本的には独立している","エラーになる","1時間後に消える",2,"削除情報の同期設定を有効にしていない限り、ソース側での削除は送信先には反映されず、バックアップとして機能します。"
"Amazon RDS Proxyを導入すべき場面は？","ストレージを安くしたいとき","Lambda等のサーバーレスから大量の同時接続があり、DBのメモリ負荷が高いとき","暗号化が必要なとき","リードレプリカが足りないとき",2,"コネクションプーリングによりDBの同時接続数を抑え、効率的にリソースを利用できます。"
"AWS Organizationsでサービスコントロールポリシー（SCP）を作成した。子アカウントのルートユーザーはこの制限を回避できるか？","できる","できない","サポートに連絡すればできる","1回だけなら可能",2,"SCPはルートユーザーを含むすべてのアカウント内ユーザーに適用される強力な制限です。"
"CloudFrontでオリジンをS3にしているが、ファイルを更新したのに反映されない。即座に反映させる方法は？","S3バケットを再作成する","CloudFrontの『無効化 (Invalidation)』を実行する","EC2を再起動する","1時間待つ",2,"無効化（パージ）を実行することで、エッジに残っている古いキャッシュを強制的にクリアできます。"
"AWS Systems Managerにおいて、ドキュメントの実行結果や履歴を15ヶ月以上保存したい。どうすればよいか？","保存先をS3またはCloudWatch Logsに設定する","設定は不要（常に永続）","PCに保存する","RDSへ転送する",1,"SSMの標準履歴は短期間で消えるため、長期監査用にはS3等への出力設定が不可欠です。"
"AWS Trusted Advisorで『全開放（0.0.0.0/0）のセキュリティグループ』が検知された。何色のアイコンになるか？","青（通知）","黄色（調査推奨）","赤（重大な問題）","緑（正常）",3,"セキュリティ上の重大な不備は赤いアイコンで表示され、即時の対応が求められます。"
"SQSのデッドレターキュー (DLQ) の役割は？","高速な処理","処理に何度も失敗したメッセージを隔離し、調査できるようにする","バックアップ","暗号化",2,"正常に処理できないメッセージをDLQに逃がすことで、メインの処理が詰まるのを防ぎます。"
"Amazon S3で、特定のIPアドレス（例：社内のグローバルIP）以外からのアクセスをすべて拒否したい。どこに記述するか？","IAM ユーザーポリシー","S3 バケットポリシーの Condition 要素","ルートテーブル","VPC セキュリティグループ",2,"バケット側で『NotIpAddress』などの条件を使った拒否ルールを書くのが最も確実です。"
"Amazon CloudWatchアラームで、過去の傾向から自動的に『妥当な範囲』を計算して監視する機能は？","静的しきい値","異常検知 (Anomaly Detection)","複合アラーム","メトリクス数式",2,"機械学習を用いて、季節性や時間帯による変動を考慮した監視が可能です。"
"AWS Systems Managerにおいて、一度に数千台のインスタンスへ一斉にパッチ適用を命じる機能は？","Session Manager","Run Command","Parameter Store","Explorer",2,"Run Commandを使用すれば、大規模なフリートに対して並列でコマンド実行が可能です。"
"AWS Organizationsにおいて、管理アカウントから子アカウントを新規作成した際、初期状態で設定されている強力なIAMロール名は？","OrganizationAccountAccessRole","AdminRole","RootRole","DefaultRole",1,"このロールを介して、管理アカウントから子アカウントをフル操作することが可能です。"
"Amazon CloudWatch Logsにおいて、特定の文字列（例：'Exception'）が出た回数を数値データとして扱いたい。機能は？","ロググループ","メトリクスフィルタ","サブスクリプションフィルタ","エクスポート",2,"メトリクスフィルタを設定すれば、ログの内容を数値化してアラームのトリガーにできます。"
"AWS Configにおいて、特定のルール（例：EBS暗号化必須）に対して、現在『準拠』しているリソースの一覧を確認できるか？","できる","できない","24時間以内のみ可能","有料オプション",1,"Configのダッシュボードから、ルールごとに準拠・非準拠のリソースを一覧表示できます。 "
"AWS CloudTrailにおいて、管理イベント（API操作）の履歴は標準で何日間無料で保持されるか？","30日間","90日間","180日間","無期限",2,"コンソールのイベント履歴では過去90日分を無料で確認できます。それ以上は証跡の作成が必要です。"
"Amazon S3の整合性モデルについて。新規オブジェクトの作成（PUT）直後にそのデータを読み取った場合、何が返るか？","常に最新のデータ（強力な整合性）","古いデータが返る可能性がある","エラーになる","404が返る",1,"S3は現在、すべての操作に対して強力な整合性を提供しています。"
"AWS Systems Managerにおいて、インスタンスにログインせずにブラウザ上でプロセス一覧やファイル操作をGUIで行える機能は？","Fleet Manager","Inventory","Distributor","Session Manager",1,"Fleet Managerを使えば、サーバー管理がより直感的になります。"
"Amazon S3において、オブジェクトを削除する代わりに『削除マーカー』を付けることで復元を可能にする機能は？","ライフサイクル","バージョニング","レプリケーション","暗号化",2,"バージョニングが有効な場合、通常の削除は削除マーカーの挿入となり、過去のバージョンは保持されます。"
"AWS Organizationsにおいて、一括請求（Consolidated Billing）を組んだ場合、各アカウントが支払う手数料はどうなるか？","各アカウントで払う","管理アカウントがまとめて支払う","無料になる","2倍になる",2,"管理アカウントが全メンバーアカウントの料金を合算して一括で支払います。"
"Route 53で、ユーザーを特定の国や州に基づいて、特定の地域のエンドポイントへルーティングするポリシーは？","位置情報ルーティング","レイテンシルーティング","フェイルオーバールーティング","シンプルルーティング",1,"Geolocation（位置情報）ルーティングにより、国ごとの出し分けが可能です。"
"AWS Identity Center (旧SSO) を使用する場合、各AWSアカウントに個別のIAMユーザーを作る必要はあるか？","ある","ない","ルートユーザーのみ必要","読み取り専用のみ必要",2,"Identity Centerで一元管理するため、各アカウントごとのユーザー管理から解放されます。"
"Amazon CloudWatchの『詳細モニタリング』を有効にすると、データ収集間隔はどうなるか？","1分間隔","5分間隔","1秒間隔","1時間間隔",1,"追加料金が発生しますが、より高頻度な（1分間隔の）監視が可能になります。"
"S3のバケットポリシーにおいて、特定のVPCエンドポイント経由のアクセスのみを許可する条件キーは？","aws:SourceVpc","aws:SourceVpce","aws:VpceId","aws:SourceIp",2,"aws:SourceVpce（またはaws:sourceVpce）を使用して、特定のエンドポイントからの通信のみを信頼できます。"
"AWS Configのルール変更通知を、リアルタイムで受け取るための標準的な組み合わせは？","Config -> EventBridge -> SNS","Config -> S3","Config -> CloudWatch Logs","Config -> IAM",1,"イベントをSNSへルーティングすることで、メールや外部通知ツールと連携できます。"
"Amazon CloudWatch Logs インサイトにおいて、クエリの実行料金は何に基づいて決まるか？","クエリの回数","スキャンされたログのデータ量","結果の表示件数","1クエリ100円固定",2,"スキャンしたギガバイト数に応じて課金されるため、期間を絞るのがコツです。"
"AWS Systems Managerの『Distributor』で配布できるものの例は？","ソフトウェアのインストールパッケージ（AWS Agentや独自ソフト等）","S3のバケット全体","OSのISOイメージ","ユーザーデータ",1,"インストーラーやスクリプトをパッケージ化して、バージョン管理付きで一斉配布できます。"
"AWS Organizationsにおいて、アカウントを組織から「離脱（Leave）」させるために必要な条件は？","すべてのアカウント情報を削除すること","単独で支払いができる情報（クレジットカード等）がそのアカウントに登録されていること","5年以上経過していること","AWSサポートの許可",2,"独立したアカウントとして存続できる状態であれば、組織から離脱させることが可能です。"
"Amazon CloudWatch アラームにおいて、しきい値を1回超えた瞬間に即座に通知を出すための設定は？","評価期間（Evaluation Periods）を 1 にする","データポイントを 10 にする","5分間待つ","SNSを2つ繋ぐ",1,"評価期間を1にすることで、1回（1期間）のしきい値超えで即アラーム状態になります。"
