question,option1,option2,option3,option4,answer,explanation
"サーバーレスなNoSQLデータベースサービスで、一桁ミリ秒単位のパフォーマンスを提供するものは？","Amazon RDS","Amazon DocumentDB","Amazon DynamoDB","Amazon ElastiCache",3,"DynamoDBは、どんな規模でも安定したパフォーマンスを発揮する、フルマネージドなNoSQLデータベースです。"
"DynamoDBにおいて、テーブル全体の項目（アイテム）を1つずつ読み取ってデータを取得する操作を何と呼びますか？","クエリ (Query)","スキャン (Scan)","フィルタ (Filter)","バッチゲット",2,"スキャンは全データを読み取るため、データ量が多い場合はパフォーマンスとコストに悪影響を与える可能性があります。"
"DynamoDBにおいて、パーティションキーを指定して、特定の項目を効率的に検索する操作を何と呼びますか？","スキャン (Scan)","クエリ (Query)","インデックス","ルックアップ",2,"クエリを使用すると、全件検索を避け、特定のキーに基づいて高速にデータを取得できます。"
"DynamoDBテーブルへのデータの追加や変更をトリガーに、Lambda関数を自動的に起動させる機能は？","DynamoDB Streams","DynamoDB Accelerator (DAX)","グローバルテーブル","TTL",1,"DynamoDB Streamsは変更履歴をキャプチャし、非同期で他の処理（検索エンジンへの反映など）を起動するのに適しています。"
"DynamoDBにおいて、ミリ秒からマイクロ秒まで読み取りパフォーマンスを加速させるインメモリキャッシュサービスは？","Amazon ElastiCache","DynamoDB Accelerator (DAX)","Global Tables","Read Replicas",2,"DAXは、DynamoDB専用のキャッシュであり、読み取り負荷が高いアプリケーションの高速化に貢献します。"
"Amazon SQSのデッドレターキュー (DLQ) の主な用途は何ですか？","処理に失敗したメッセージの分離と調査","高速なメッセージ送信","バックアップの保存","メッセージの暗号化",1,"正常に処理できないメッセージをDLQに移動させることで、メインのキューが詰まるのを防ぎ、エラーの原因を分析できます。"
"GraphQLを使用して、複数のデータソース（DynamoDB, Lambda等）を1つのエンドポイントで統合し、必要なデータだけを効率的に取得するサービスは？","Amazon API Gateway","AWS AppSync","AWS Amplify","AWS Glue",2,"AppSyncはマネージドなGraphQLサービスで、リアルタイムなデータ同期や複雑なデータ取得を容易にします。"
"Amazon SNSにおいて、1つのトピックに送られたメッセージを、SQS、Lambda、HTTPなど複数の宛先へ同時に送信するパターンを何と呼びますか？","ロードバランシング","ファンアウト (Fan-out)","パブリッシング","ブロードキャスト",2,"SNSのファンアウトパターンを使用すると、1つのイベントをきっかけに複数の異なる処理を並列で実行できます。"
"AWS Lambdaにおいて、コードの実行環境（ランタイム）を初期化した状態で待機させ、コールドスタート（起動遅延）を回避する機能は？","予約済コンカレンシー","プロビジョニングされたコンカレンシー (Provisioned Concurrency)","Lambda@Edge","Step Functions",2,"これを設定すると、リクエストが来た際に即座に実行可能な環境が確保されるため、レスポンス時間が安定します。"
"Amazon SQSにおいて、キューの中にメッセージが届くまで一定時間待機し、APIリクエストの回数とコストを削減する手法は？","ショートポーリング","ロングポーリング","バッチ送信","遅延タイマー",2,"ロングポーリングを有効にすると、メッセージがない場合にすぐに空のレスポンスを返さず待機するため、効率的です。"
"AWS Step Functionsにおいて、各ステップ間でのデータの受け渡しや状態の保持を行う役割を持つものはどれですか？","Lambda","ステートマシン","JSON (ペイロード)","S3",3,"Step FunctionsはJSON形式のデータを入力として受け取り、次のステップへと加工して渡していきます。"
"Amazon API Gatewayにおいて、APIへのアクセス権限をIAMやLambda関数を使用して制御する仕組みを何と呼びますか？","API キー","Lambda オーソライザー","ステージ変数","使用プラン",2,"オーソライザーを使用すると、OAuthやSAML、独自のロジックに基づいた認証・認可をAPIに組み込めます。"
"DynamoDBで、特定の期間が過ぎた項目を自動的に削除し、ストレージコストを削減する機能は？","TTL (Time to Live)","ライフサイクルポリシー","自動パージ","アーカイブ",1,"TTLを設定すると、指定した時刻を過ぎたデータをDynamoDBが自動でクリーンアップします。"
"AWS LambdaがVPC内のリソース（RDSなど）にアクセスするために必要な設定は？","インターネットゲートウェイ","VPC内へのENI（仮想インターフェース）の作成とセキュリティグループの設定","ルートユーザーの権限","パブリックIPの付与",2,"LambdaにVPC設定を行うと、VPC内のサブネットにENIが作成され、プライベートな通信が可能になります。"
"Amazon Kinesis Data Firehoseの主な役割は何ですか？","データのリアルタイム分析","ストリーミングデータをS3、Redshift、OpenSearch等へ自動的にロード（保存）する","メッセージの順序保証","APIの作成",2,"Firehoseは、ストリーミングデータの転送に特化したフルマネージドサービスです。"
"Amazon SQSにおいて、メッセージを送信してから受信者が取り出せるようになるまでの時間を遅らせる機能を何と呼びますか？","可視性タイムアウト","遅延キュー (Delay Queues)","ロングポーリング","ホールド",2,"遅延キューを使用すると、ジョブの実行を数秒から数分遅らせたい場合に、コードを書かずに対応できます。"
"AWS Lambdaのメモリ量を増やすと、自動的に強化されるリソースはどれですか？","ネットワーク帯域幅","ストレージ容量","CPU 性能","最大実行時間",3,"Lambdaは割り当てられたメモリ量に比例してCPUパワーが割り当てられる仕組みになっています。"
"Amazon DynamoDBのグローバルテーブルを利用する最大のメリットは何ですか？","マルチリージョンで、どこからでも低レイテンシで読み書きが可能（マルチアクティブ）","料金が無料になる","データのバックアップが速い","検索機能が強化される",1,"グローバルテーブルを使用すると、世界各地のリージョン間でデータが自動同期され、災害対策やグローバル展開に役立ちます。"
"Amazon API Gatewayで、同じリクエストに対してバックエンドを呼び出さず、保存しておいた結果を返す機能を何と呼びますか？","スロットリング","API キャッシング","ステージ管理","ペイロード圧縮",2,"キャッシングを有効にすると、バックエンドの負荷が減り、クライアントへのレスポンス速度が向上します。"
"AWS Step Functionsの『標準ワークフロー』と『急行ワークフロー (Express)』のうち、5分以内の短時間で大量のリクエストを処理するのに適しているのは？","標準ワークフロー","急行ワークフロー","どちらでも同じ","Lambda",2,"急行ワークフローは、高頻度かつ短時間のイベント処理（IoTデータ処理やストリーミング等）に最適化されています。"
"AWS Lambdaのコード内で、データベースのパスワードなどの機密情報を安全に扱うためのベストプラクティスは？","コードに直接記述する","環境変数に記述し、AWS Secrets Manager等から取得する","S3に保存する","コメントに残す",2,"機密情報はSecrets ManagerやParameter Storeで管理し、実行時にLambdaから呼び出すのがセキュアです。"
"Amazon SQSにおいて、1つのメッセージの最大サイズはどれくらいですか？","64 KB","256 KB","1 MB","10 MB",2,"SQSのメッセージサイズは最大256KBです。これを超える場合はS3に保存し、そのパスをメッセージとして送ります。"
"Amazon EventBridge（旧CloudWatch Events）において、イベントの発生パターンを定義し、特定のターゲット（Lambda等）へルーティングする設定を何と呼びますか？","ソース","ルール","バス","ターゲット",2,"ルールを作成することで、特定のイベントが発生した際にどのアクションを起こすかを制御します。"
"Amazon SNSにおいて、モバイルアプリに対してプッシュ通知を直接送信することは可能ですか？","可能","不可能","ブラウザのみ可能","メールのみ可能",1,"SNSのモバイルプッシュ通知機能により、iOS、Android、Windowsなどのデバイスに直接通知を送ることができます。"
"DynamoDBにおいて、強い整合性のある読み込み（Strongly Consistent Read）を選択した場合の注意点は？","料金が安くなる","常に最新の書き込み結果が返るが、スループットを多く消費する","読み取りが速くなる","可用性が上がる",2,"デフォルトは結果整合性ですが、強い整合性を指定すると、最新の状態を確実に取得できます。"
"Amazon SQSにおいて、メッセージをキューに保存しておける最大期間（保持期間）はどれくらいですか？","12時間","4日間（デフォルト）","14日間（最大）","無制限",3,"SQSは一時的なバッファであり、最大14日間までメッセージを保持できます。"
"AWS Lambdaにおいて、共通のライブラリや設定を複数の関数で共有・再利用するための仕組みを何と呼びますか？","Lambda エイリアス","Lambda レイヤー (Layers)","Lambda バージョン","Lambda テンプレート",2,"レイヤーを使用すると、コードパッケージのサイズを小さく保ち、依存関係の管理を効率化できます。"
"Amazon Kinesis Video Streamsの主な用途はどれですか？","映画の配信","分析や機械学習のためのライブビデオストリーミングのキャプチャ、処理、保存","写真のバックアップ","テレビ放送",2,"カメラなどのデバイスからのビデオデータを安全にストリーミングし、リアルタイム処理やバッチ分析に利用します。"
"Amazon DynamoDBにおいて、テーブル作成後に変更できない項目はどれですか？","パーティションキー (プライマリキー)","プロビジョニングされた容量","タグ","セカンダリインデックス",1,"パーティションキーやソートキーの構成は後から変更できないため、設計段階での検討が重要です。"
"AWS Lambda@Edgeはどこで実行されますか？","特定のリージョン","Amazon CloudFront のエッジロケーション","VPC内","オンプレミス",2,"エッジロケーションでコードを実行することで、世界中のユーザーに対して極めて低いレイテンシで処理を提供できます。"
"Amazon API Gatewayにおいて、開発環境、テスト環境、本番環境などのようにデプロイ先を分けるための単位を何と呼びますか？","リソース","メソッド","ステージ","モデル",3,"ステージごとに異なるURLや設定（キャッシュ、スロットリング等）を持つことができます。"
"Amazon SNSにおいて、メッセージの内容に基づいて特定の受信者にのみ配信を行う機能を何と呼びますか？","メッセージ属性","メッセージフィルタリングポリシー","トピック管理","サブスクリプション確認",2,"フィルタリングポリシーを使用すると、不要なメッセージを受信者側で受け取らないように制御できます。"
"AWS Step Functionsにおいて、外部システム（人間による承認など）の処理待ちを実装するために使用する仕組みは？","ループ","タスクトークン (Wait for Task Token)","Wait ステート","チョイスステート",2,"タスクトークンを使用すると、外部の処理が終わるまでワークフローを一時停止させることが可能です。"
"Amazon DynamoDBのストレージ容量制限はどのようになっていますか？","100 GBまで","10 TBまで","無制限","1 PBまで",3,"DynamoDBはマネージドな分散型DBのため、ユーザーが容量を意識することなくデータを保存し続けられます。"
"AWS Lambdaの『同時実行数（Concurrency）』のデフォルトの制限（ソフトリミット）はリージョンごとに合計いくつですか？","100","1,000","10,000","無制限",2,"通常は1,000が上限ですが、申請により引き上げることが可能です。これが不足すると『スロットリング』が発生します。"
"Amazon SQSにおいて、メッセージの受信側が一時的に高負荷で処理が追いつかない場合、SQSはどう機能しますか？","古いメッセージを自動削除する","メッセージをキューに安全に保持し、受信側の準備ができるまで待機する（バッファ）","エラーを返して送信を止める","処理速度を自動で上げる",2,"SQSがバッファ（クッション）として機能することで、スパイク的な負荷からバックエンドシステムを守ることができます。"
"Amazon API Gatewayにおいて、バックエンドからのレスポンスを待つ最大時間（タイムアウト）はデフォルトで何秒ですか？","1秒","29秒","60秒","15分",2,"API Gatewayのタイムアウト上限は29秒です。それ以上の時間がかかる処理は、非同期実行にする必要があります。"
"Amazon EventBridgeにおいて、外部のSaaSアプリケーション（Zendesk, Shopify等）からのイベントをAWS内で直接受け取ることができますか？","できる","できない","メール経由ならできる","専用線が必要",1,"EventBridgeのパートナーイベント源機能により、SaaSアプリの変更をトリガーにAWSの処理を起動できます。"
"Amazon DynamoDBのキャパシティモードのうち、予測不能なトラフィックに対して使用量に応じて料金が発生するモードは？","プロビジョニング済みモード","オンデマンドモード","サーバーレスモード","リザーブドモード",2,"オンデマンドモードは、事前の容量見積もりが不要で、実行した読み書きに対してのみ課金されます。"
"Amazon Kinesis Data Streamsにおいて、データを保持し、読み取りの単位となる論理的なグループを何と呼びますか？","パーティション","シャード (Shard)","セグメント","バケット",2,"シャードの数を増減させることで、ストリーム全体の処理能力（スループット）を調整します。"
"AWS Lambdaの実行ログは自動的にどこに保存されますか？","Amazon S3","Amazon CloudWatch Logs","Amazon DynamoDB","AWS CloudTrail",2,"Lambdaが出力するすべての標準出力ログは、自動的にCloudWatch Logsの専用グループに集約されます。"
"Amazon SNSトピックに対して、複数のSQSキューをサブスクライブ（登録）させた場合の挙動は？","メッセージが1つのキューにランダムに送られる","各キューに同じメッセージのコピーがそれぞれ送られる (Fan-out)","メッセージが分割される","エラーになる",2,"SNSとSQSを組み合わせることで、1つのイベントに対して複数の独立したバックエンド処理を並列実行できます。"
"Amazon API Gatewayの『ステージ変数』の主な用途は何ですか？","計算用","エンドポイントURLやLambda関数名などを環境ごとに動的に切り替えるため","パスワードの保存","API名の変更",2,"同じAPI定義を使いつつ、ステージ変数によって呼び出すLambdaを『dev用』『prod用』と切り替えることができます。"
"AWS Step Functionsで、複数の処理を『同時に』並列実行し、すべての完了を待つステート（状態）はどれですか？","Choice","Parallel","Map","Wait",2,"Parallelステートを使用すると、複数の独立したパスを同時に実行し、結果をまとめることができます。"
"Amazon DynamoDBにおいて、1つの項目（アイテム）の最大サイズはどれくらいですか？","4 KB","400 KB","4 MB","40 MB",2,"DynamoDBの1アイテムのサイズ上限は400KBです。大きな画像などはS3に保存し、S3のパスをDynamoDBに記録します。"
"Amazon SQSにおいて、1回のリクエストで取得できるメッセージの最大数はいくつですか？","1つ","10個","100個","制限なし",2,"バッチ受信を利用することで、最大10個のメッセージを一度に取得でき、コストと通信効率を改善できます。"
"AWS Lambdaにおいて、新バージョンのコードをデプロイする際、一部のトラフィックだけを新しいバージョンに流すテスト手法をサポートする機能は？","Lambda レイヤー","Lambda エイリアス (重み付きエイリアス)","Lambda バージョニング","Lambda ステージ",2,"重み付きエイリアスを使用すると、例えば『5%だけ新バージョン(V2)へ』といったカナリアリリースが可能です。"
"Amazon EventBridgeにおいて、既存のイベント構造（スキーマ）を自動的に検出し、コード生成などに役立てる機能は？","スキーマレジストリ","イベントアーカイブ","リプレイ機能","パターンマッチング",1,"スキーマレジストリを使用すると、イベントの形を正確に把握でき、開発効率が向上します。"
"Amazon DynamoDBのローカルセカンダリインデックス (LSI) に関する制限はどれですか？","テーブル作成後に作成できる","テーブル作成時にのみ作成可能で、パーティションキーがテーブルと同じである必要がある","無制限に作成できる","非同期で更新される",2,"LSIはテーブル作成時のみ設定可能で、同じパーティションキー内で異なるソートキーを使いたい場合に利用します。"
"Amazon API Gatewayにおいて、大規模なトラフィックからバックエンドを守るために、短時間に集中したリクエストを一時的に許容する機能を何と呼びますか？","バースト (Burst)","キャッシング","クォータ","遅延",1,"スロットリング設定において、平均レートとは別に『バースト値』を設定することで、一時的なスパイクに対応できます。"
"Amazon SQSの『ショートポーリング』と『ロングポーリング』の違いは何ですか？","ロングポーリングはメッセージがない場合に一定時間待機し、APIコールを減らす","ショートポーリングの方が安い","ロングポーリングはデータを暗号化する","違いはない",1,"ロングポーリングの方が空のレスポンスが減るため、多くのケースで推奨され、コストも抑えられます。"
"AWS Step Functionsにおいて、配列（リスト）の各要素に対して同じ処理を繰り返し適用するステートはどれですか？","Choice","Parallel","Map","Task",3,"Mapステートを使用すると、リスト内のアイテムごとに並列で反復処理を行うことができます。"
"Amazon Kinesis Data Firehoseにおいて、S3などへ保存する前に、データを加工（フォーマット変換など）するために呼び出せるサービスは？","Amazon RDS","AWS Lambda","Amazon SNS","AWS Glue",2,"Lambda関数をインラインで呼び出し、データの圧縮や形式変換を行ってから保存先に届けることが可能です。"
"Amazon DynamoDB Accelerator (DAX) を使用するために、アプリケーションのコードを大幅に書き換える必要はありますか？","はい","いいえ（API互換性があるため、クライアントをDAX用に変えるだけで済む）","SQLに変更する必要がある","Pythonのみ対応",2,"DAXはDynamoDBとAPI互換性があるため、既存のロジックをほぼ変えずにキャッシュの恩恵を受けられます。"
"Amazon SNSにおいて、メッセージを送信した後に受信側が正しく受け取ったかどうかを確認（ログ記録）する機能は？","メッセージフィルタリング","配信ステータスログ (Delivery Status Logging)","トピックポリシー","メッセージ保護",2,"CloudWatch Logsに配信結果を記録することで、通知が届かなかった際の原因調査が可能になります。"
"AWS Lambdaの『デッドレターキュー (DLQ)』設定において、非同期実行が失敗した際に行き先として指定できるサービスは？","Amazon S3","Amazon SQS または Amazon SNS","Amazon RDS","Amazon EC2",2,"処理しきれなかったイベントをSQS等に逃がすことで、後から再試行や原因究明が行えます。"
"Amazon API Gatewayにおいて、バックエンド（Lambda等）へ渡すリクエストやレスポンスのデータ形式を変換する機能を何と呼びますか？","マッピングテンプレート (VTL)","プロキシ統合","リクエスト検証","オーソライザー",1,"VTL (Velocity Template Language) を使用すると、フロントエンドの形式をバックエンドが理解できる形式に変換できます。"
"Amazon DynamoDBの『オンデマンドキャパシティモード』から『プロビジョニング済みキャパシティモード』へ変更することは可能ですか？","可能（1日に数回の制限あり）","不可能","一度だけ可能","ルートユーザーのみ可能",1,"負荷の特性に合わせて、途中でキャパシティモードを切り替えることが可能です。"
"Amazon SQSのメッセージ可視性タイムアウトが短すぎる場合に起こる問題は？","メッセージが削除される","同じメッセージが複数のワーカーによって重複して処理される可能性が高まる","コストが上がる","メッセージが届かなくなる",2,"処理が終わる前にタイムアウトしてキューに再出現してしまうため、二重処理の原因になります。"
"AWS Step Functionsで、条件分岐（もしAならBへ、そうでなければCへ）を実装するためのステートはどれですか？","Task","Parallel","Choice","Wait",3,"Choiceステートにより、入力データの値に基づいた複雑なビジネスロジックの分岐を表現できます。"
"Amazon DynamoDBにおいて、テーブルをまたいだ複数操作の整合性を保証する（すべて成功するかすべて失敗するか）機能は？","DynamoDB Transactions","DynamoDB Streams","DynamoDB Global Tables","Strong Consistency",1,"トランザクション機能を使用すると、最大100個のアクションを1つのアトミックな単位として処理できます。金融システムなどに適しています。"
"Amazon API Gatewayの『プロキシ統合 (Lambda Proxy Integration)』を使用するメリットは？","APIが速くなる","リクエストの全情報をそのままLambdaに渡し、Lambda側で詳細な制御ができるため設定がシンプルになる","料金が安くなる","暗号化が強化される",2,"マッピングテンプレートを書かずに、ヘッダーやパス情報をまるごとプログラム側で扱えるようになります。"
"Amazon EventBridgeにおいて、イベントがターゲットへの配信に失敗し続けた場合にメッセージを保存する場所は？","Amazon S3","デッドレターキュー (SQS)","CloudWatch Logs","SNS トピック",2,"EventBridgeでもDLQを設定することで、重要なイベントの消失を防ぐことができます。"
"AWS Lambdaの『環境変数』の合計サイズの制限はどれくらいですか？","1 KB","4 KB","64 KB","1 MB",2,"環境変数は合計で4KBまでです。それ以上の設定が必要な場合はS3やAppConfigを利用します。"
"Amazon SQSのメッセージ送信において、ネットワークエラーなどで同じメッセージが2回送られてしまった場合、標準キューはどう動作しますか？","自動的に1つ削除する","少なくとも1回配信（At-least-once）を保証するため、重複して届く可能性がある","エラーを返す","受信側で自動マージする",2,"標準キューは順序や重複排除を保証しないため、アプリケーション側で『冪等性（べきとうせい）』を確保する設計が必要です。"
"Amazon DynamoDBの『グローバルセカンダリインデックス (GSI)』は、テーブル作成後に追加できますか？","できる","できない","特定のエンジンのみできる","リードレプリカがあればできる",1,"GSIはLSIと異なり、運用開始後でも必要に応じて追加や削除が可能です。"
"AWS Step Functionsにおいて、Lambda関数以外をターゲットにすることはできますか？","できない","できる（ECSタスク、SQS、SNS、DynamoDB、API Gatewayなど多数のAWSサービスと直接連携可能）","EC2のみできる","S3のみできる",2,"AWS SDK統合機能により、Lambdaを書かずに直接他のAWSサービスを操作することも可能です。"
"Amazon Kinesis Data Streamsのデータ保持期間（リテンション）はデフォルトで何時間ですか？","1時間","24時間","7日間","無制限",2,"デフォルトは24時間ですが、設定により最大1年間まで延長することが可能です。"
"Amazon API Gatewayにおいて、API全体の『使用プラン』を作成する目的は？","名前を変えるため","特定の顧客（APIキー所有者）に対して、スロットリングやクォータを個別に割り当てるため","UIを綺麗にするため","リージョンをまたぐため",2,"顧客ごとに『月間10,000リクエストまで』といった制限を設け、SaaSなどのビジネスモデルを構築できます。"
"Amazon SQSにおいて、メッセージをキューから削除するのは誰の役割ですか？","SQSが自動で行う","受信者（ワーカー）が処理を正常に完了した後に、削除APIを呼び出す必要がある","送信者が行う","1分後に自動で消える",2,"受信しただけではキューから消えません（見えなくなるだけ）。確実に処理が終わったことを通知するために削除命令が必要です。"
"Amazon SNSにおいて、ショートメール（SMS）を送信することは可能ですか？","可能","不可能","アメリカのみ可能","メールサーバーが必要",1,"SNSの機能を使用して、世界中の携帯電話番号に対して直接SMSメッセージを送信できます。"
"AWS Lambdaにおいて、同一リクエストの再試行が行われた際、同じ結果を保証する設計（何度実行しても副作用がない状態）を何と呼びますか？","アトミック","冪等性 (Idempotency)","ステートフル","永続性",2,"分散システムではネットワークエラーによる再実行が起こり得るため、冪等な設計が極めて重要です。"
"Amazon DynamoDBのキャパシティユニットにおいて、1 WCU（書き込みキャパシティユニット）は何KBまでの書き込みを1秒間に1回行える能力ですか？","1 KB","4 KB","400 KB","1 MB",1,"WCUは1KB/秒、RCUは4KB/秒（結果整合性なら2回）の単位で計算されます。"
"Amazon API Gatewayの『REST API』と『HTTP API』のうち、より低コストで低レイテンシ（機能を絞ったシンプル版）なのはどちらですか？","REST API","HTTP API","どちらも同じ","API Gatewayではない",2,"HTTP APIは、不要な機能を削ぎ落とすことで、より安価で高速なAPI提供を可能にしています。"
"AWS Step Functionsのステートマシン定義は、どのような形式で記述しますか？","JSON または YAML (ASL: Amazon States Language)","Python","XML","SQL",1,"ASLという専用の構造化言語を使用して、ワークフローのロジックを定義します。"
"Amazon SQSの『ロングポーリング』の最大待機時間は何秒ですか？","5秒","10秒","20秒","60秒",3,"WaitTimeSecondsを最大20秒に設定することで、メッセージの到着を効率的に待機できます。"
"Amazon DynamoDBにおいて、パーティションキーが同じで、ソートキーが異なる項目をまとめて取得する操作に最適なのは？","スキャン","クエリ","ゲットアイテム","フィルタ",2,"クエリを使用すると、特定のパーティション内のデータをソートキーの範囲指定などで効率よく取り出せます。"
"Amazon EventBridgeにおいて、過去に発生したイベントを保存しておき、後から再度実行（リプレイ）する機能は？","アーカイブとリプレイ","タイムマシン機能","イベントログ","スナップショット",1,"この機能により、バグ修正後に過去のイベントを再適用してデータを復旧させるといったことが可能です。"
"AWS Lambdaのコードパッケージのサイズ制限（圧縮時）はどれくらいですか？","10 MB","50 MB","250 MB (解凍時)","1 GB",2,"アップロードできるZIPファイルは50MBまでです。これを超える場合はコンテナイメージを使用します。"
"Amazon API Gatewayにおいて、クライアントとバックエンドの間で双方向のリアルタイム通信を実現するプロトコルは？","HTTP","gRPC","WebSocket","FTP",3,"WebSocket APIを使用すると、チャットアプリなどのリアルタイムな双方向通信をサーバーレスで構築できます。"
"Amazon SQSの『メッセージグループID』はどのタイプのキューで使用されますか？","標準キュー","FIFO キュー","デッドレターキュー","すべてのキュー",2,"FIFOキューにおいて、同じグループIDを持つメッセージは常に厳密な順序で、かつ一度に1つのワーカーにのみ配信されます。"
"Amazon DynamoDBの『プロビジョニング済みモード』において、あらかじめ設定したWCU/RCUの上限を超えたリクエストが来るとどうなりますか？","自動で課金される","ProvisionedThroughputExceededException (スロットリング) が発生する","リクエストがキューイングされる","処理が遅くなるだけで成功する",2,"設定値を超えるとエラーが返ります。これに対応するにはAuto Scalingを有効にするかオンデマンドモードを使います。"
"AWS Step Functionsにおいて、一定時間（例：1時間）処理を停止させるためのステートはどれですか？","Stop","Wait","Pause","Hold",2,"Waitステートを使用すると、相対時間や絶対時間を指定してワークフローを一時停止させることができます。"
"Amazon Kinesis Data Streamsにおいて、データを読み取る『コンシューマー』側のスループットを向上させるための専用の読み取り枠を提供する機能は？","拡張ファンアウト (Enhanced Fan-out)","シャードの分割","Kinesis Data Firehose","リードレプリカ",1,"拡張ファンアウトを使用すると、1つのシャードに対して複数の受信者がそれぞれ独立した2MB/秒の帯域を持つことができます。"
"AWS LambdaのコードからS3バケットを操作する場合、認証情報はどこから取得すべきですか？（ベストプラクティス）","コード内の定数","~/.aws/credentials ファイル","実行ロール（IAMロール）から一時的に自動付与される情報","環境変数に手動で設定したアクセスキー",3,"IAMロールを使用することで、コードにキーを埋め込むことなく安全に権限を委譲できます。"
"Amazon API Gatewayで、既存のバックエンドHTTPエンドポイントを、単にパススルーして公開する統合方式は？","Lambda プロキシ統合","HTTP プロキシ統合","Mock 統合","VPC 統合",2,"既存のHTTPサービスを、API Gatewayの認証やスロットリング機能の背後に置きたい場合に便利です。"
"Amazon DynamoDBで、テーブルの『バックアップと復元』に関する正しい説明はどれですか？","手動スナップショットのみ可能","オンデマンドバックアップと、過去35日間の任意の時点へ戻せるポイントインタイムリカバリ(PITR)が可能","バックアップは不可能","S3に手動でコピーする必要がある",2,"マネージドなバックアップ機能により、データの保護と復旧が容易に行えます。"
"Amazon SQSにおいて、複数のメッセージを1回のリクエストでまとめて送信することで、コストを削減する手法は？","バッチ操作 (SendMessageBatch)","圧縮送信","マルチスレッド送信","ロングポーリング",1,"最大10件のメッセージを1つのAPIコールで送信することで、APIリクエスト料金を節約できます。"
"AWS Lambda関数のバージョニングにおいて、『LATEST』とは何を指しますか？","最新の安定版","現在編集中の最新のコードと設定のコピー","最初のバージョン","削除されたバージョン",2,"LATESTは常に最新の状態を指すため、本番環境では番号の付いた不変の『バージョン』や『エイリアス』を使用するのが一般的です。"
"Amazon DynamoDB Accelerator (DAX) はどのようなデータをキャッシュしますか？","画像ファイル","結果セット (Query/Scan結果) および 個別アイテム (GetItem結果)","SQLの実行計画","HTMLページ",2,"DBへの問い合わせ結果をメモリに保持することで、再度の同一リクエストをミリ秒未満で返します。"
