question,option1,option2,option3,option4,answer,explanation
"Direct Connect Gatewayを使用する主なメリットは？","通信速度が2倍になる","1つのDirect Connect接続で、複数のリージョンのVPCと通信できる","VPNを不要にする","無料になる",2,"ゲートウェイを使用することで、リージョンをまたいだプライベート接続を集約・管理できます。"
"CloudFrontがオリジンからコンテンツを取得する際、そのリクエストのプロトコル（HTTP/HTTPS）を指定する設定は？","オリジンプロトコルポリシー","ビューワープロトコルポリシー","キャッシュポリシー","ヘッダーポリシー",1,"オリジンプロトコルポリシーで、エッジからオリジンへの通信をHTTPSに強制することなどが可能です。"
"VPC内のEC2からインターネットへ出る際、送信元IPアドレスをNATゲートウェイのパブリックIPに変換する処理を何と呼びますか？","SNAT (Source NAT)","DNAT (Destination NAT)","IP マスカレード","ポートフォワーディング",1,"プライベートIPをNATのアドレス（送信元）に書き換えるため、SNATと呼ばれます。"
"VPCピアリング接続を行う2つのVPCにおいて、IPアドレス範囲（CIDR）が重複している場合はどうなりますか？","接続できる","接続できない（重複は許されない）","自動でアドレスが変わる","IPv6なら無視される",2,"ピアリングを確立するためには、両方のVPCのIPレンジが重なっていないことが必須条件です。"
"AWS Global Acceleratorが提供する、ユーザーが接続先として使用するIPアドレスの特徴は？","変動する動的なIP","2つの固定された静的パブリックIP","IPv6のみ","プライベートIP",2,"2つの固定Anycast IPアドレスが提供されるため、DNSの更新を待たずにルーティングの切り替えが可能です。"
"CloudFrontにおいて、オリジンの応答がエラー（例：503エラー）の場合に、代わりに特定のHTML（メンテナンス画面）を表示する機能は？","カスタムエラーレスポンス","フェイルオーバー","オリジンシールド","エッジキャッシュ",1,"この機能により、サーバーダウン時もユーザーに分かりやすいメッセージを表示できます。"
"VPC内のインスタンスが、インターネットへのルート(0.0.0.0/0)を持たず、完全に閉じた環境であるネットワークを何と呼びますか？","パブリックサブネット","隔離されたサブネット / 完全プライベートサブネット","ハイブリッドサブネット","VPNサブネット",2,"インターネットへの出口を持たず、VPCエンドポイントやVPN経由でのみ通信する設計です。"
"Route 53の地理的近接性ルーティング(Geoproximity)において、特定の地点へのトラフィック流入を増やすために設定する値は？","バイアス (Bias)","ウェイト (Weight)","レイテンシ","優先度",1,"バイアス値を大きくすることで、そのエンドポイントがカバーする地理的な範囲を拡大できます。"
"VPCエンドポイント（インターフェイス型）の裏側で使用されている、ネットワーク負荷分散技術は何ですか？","ELB (Elastic Load Balancing)","PrivateLink (Hyperplane)","NAT Gateway","Global Accelerator",2,"PrivateLink技術により、AWSネットワーク内でのセキュアでスケーラブルな通信が実現されています。"
"Amazon Route 53 Resolverの『アウトバウンドエンドポイント』が必要な場面は？","インターネットの閲覧","VPC内のインスタンスからオンプレミスのDNSサーバーへ問い合わせを行う場合","S3への接続","新しいドメインの取得",2,"これを使用することで、AWS内の名前解決をオンプレミス側へ転送（フォワード）できます。"
"ネットワークACL(NACL)において、インバウンドルールを許可した際、アウトバウンドルールも個別に許可が必要な理由は？","NACLがステートレスだから","設定ミスを防ぐため","IPを偽装させないため","有料オプションだから",1,"NACLは通信の『戻り』を記憶しないため、双方向のルールを明示的に書く必要があります。"
"CloudFrontのキャッシュ効率を上げるために、オリジンへのリクエストから不要なクエリ文字列やヘッダーを除外する設定は？","キャッシュポリシー (Cache Policy)","オリジンリクエストポリシー","圧縮設定","TTL設定",1,"キャッシュキーを最適化することで、同じコンテンツに対するキャッシュヒット率を高められます。"
"AWS Direct Connectにおいて、1つの物理接続を論理的に分割し、VPCやパブリックサービス（S3）へ繋ぐための単位は？","VIF (Virtual Interface)","VPN Tunnel","NAT Gateway","Subnet",1,"Private VIFやPublic VIFを作成することで、1つの回線を用途別に使い分けます。"
"Route 53で、ドメイン名『example.com』（ルートドメイン）に対してELBを指定する場合、どのレコードタイプを使うべきですか？","CNAME","エイリアス (Aレコード)","MX","TXT",2,"ルートドメインにはCNAMEを使えないというDNSの制約があるため、エイリアスレコードが必須です。"
"NATインスタンス（NATゲートウェイではない古い方式）を使用する際、EC2のネットワーク設定で無効化しなければならない項目は？","パブリックIP","送信元/送信先チェック (Source/Dest Check)","ENA","セキュリティグループ",2,"NATを行うには自分宛てではないパケットを通過させる必要があるため、このチェックをオフにします。"
"VPC内のインスタンスが受けるDDoS攻撃（レイヤー3/4）を自動的に緩和・保護する、デフォルトで有効なサービスは？","AWS WAF","AWS Shield Standard","Amazon GuardDuty","AWS Firewall Manager",2,"すべてのAWSユーザーに標準で適用されており、一般的なネットワーク攻撃から保護されています。"
"VPCエンドポイント（インターフェイス型）を作成すると、サブネット内に何が作成されますか？","インターネットゲートウェイ","プライベートIPを持つENI (Elastic Network Interface)","ルーター","NATゲートウェイ",2,"サービスと通信するための窓口となる仮想カード(ENI)が配置されます。"
"CloudFrontのキャッシュ保持期間（TTL）を制御するために、オリジン側から送信すべきHTTPヘッダーはどれですか？","Content-Type","Cache-Control (max-age)","Location","Set-Cookie",2,"Cache-Controlヘッダーを使用すると、エッジに何秒間データを保存させるかを詳細に指示できます。"
"Route 53でプライベートホストゾーン（Private Hosted Zone）を使用する目的は？","世界中にドメインを公開するため","VPC内部のインスタンス間でのみ有効な独自ドメイン名を使用するため","メールサーバーを建てるため","ドメインを保護するため",2,"VPC外からは見えない、社内システム用などの名前解決を実現します。"
"VPCピアリング接続において、ピアリングを承認（Accept）できるのはどのアカウントですか？","接続をリクエストした側のみ","接続のリクエストを受けた側のアカウント","ルートユーザーのみ","AWSサポート",2,"リクエスト送信後、相手方が承認することで初めてピアリングが成立します（自分同士なら自分で承認）。"
"ネットワークACL(NACL)のルール番号（例：100, 200）の優先順位はどうなっていますか？","番号が大きいほど優先される","番号が小さいほど先に評価・優先される","ランダム","すべて同時に評価される",2,"100番のルールが条件に一致すれば、それ以降の200番などは評価されずに処理が確定します。"
"CloudFrontでコンテンツのキャッシュを即座に破棄（リセット）し、オリジンから最新版を読み込ませる操作を何と呼びますか？","パージ","無効化 (Invalidation)","リフレッシュ","削除",2,"Invalidationを実行することで、TTLが切れる前でもエッジのキャッシュをクリアできます。"
"AWS Client VPNを使用してVPCに接続する際、ユーザー認証に使用できる仕組みは？","Active Directory認証 または 証明書認証","パスワードなしログイン","SNS通知","ICカード",1,"企業の既存のディレクトリや、OpenVPN互換の証明書を使用してセキュアに接続できます。"
"Route 53の『マルチバリュー回答ルーティング』と『シンプルルーティング』の違いは？","名前が違うだけ","マルチバリューは、最大8つの健康なエンドポイントを返し、ヘルスチェックと連動する","マルチバリューは有料","シンプルの方が速い",2,"マルチバリューはヘルスチェックを行い、生きているIPのみを最大8つ選んで返します。"
"Amazon VPCの最大サイズ（CIDRマスク）として設定できる値はいくつですか？","/8","/16","/24","/28",2,"/16（約65,000 IP）がVPC作成時に指定できる最大サイズです。"
"NATゲートウェイのスループット（通信速度）はどれくらいですか？","常に1Gbps固定","5Gbpsから最大100Gbpsまで自動的にスケールする","ユーザーが手動で調整する","0.1Gbps",2,"負荷に応じて自動的に帯域が拡張されるため、管理の手間が省けます。"
"VPC内で作成可能な最小のサブネットサイズはいくつですか？","/16","/24","/28","/32",3,"/28（16個のIPアドレス、うち11個が使用可能）が最小単位です。"
"AWS PrivateLinkを使用して提供されるサービスを、VPC内で見つけやすくするための機能は？","VPC エンドポイントサービス","AWS Marketplace","Amazon Route 53","AWS Transit Gateway",1,"自分のVPC内のネットワークロードバランサー(NLB)を PrivateLink 経由で他者に公開できます。"
"Direct Connect接続が物理的に切断された際のバックアップ（冗長化）として、最も安価に構築できる手段は？","もう1本のDirect Connectを引く","Site-to-Site VPNをバックアップとして構成する","何もしない","S3へコピーする",2,"メインをDirect Connect、バックアップを安価なインターネットVPNにする構成が一般的です。"
"CloudFrontで『オリジンシールド (Origin Shield)』を有効にする主なメリットは？","セキュリティが10倍になる","オリジンへの負荷（リクエスト数）をさらに軽減し、キャッシュヒット率を高める","ストレージが無料になる","動画が綺麗になる",2,"中継拠点としてオリジンシールドを置くことで、複数のエッジからのリクエストを1つにまとめてオリジンに届けます。"
"VPCフローログの出力先として選択できるものはどれですか？","CloudWatch Logs と Amazon S3","Amazon EBS と Amazon EFS","Amazon RDS","AWS Artifact",1,"分析の目的（リアルタイム監視か長期保存か）に合わせて2つの出力先を選べます。"
"AWS Global Acceleratorでトラフィックの振り分け比率を調整する設定を何と呼びますか？","ウェイト","トラフィックダイヤル (Traffic Dial)","バイアス","スロットル",2,"リージョンごとのトラフィック流入量をパーセント単位で細かく制御できます。"
"ネットワークACL(NACL)のデフォルト設定（作成直後）で、通信はどうなっていますか？","すべて許可 (Allow All)","すべて拒否 (Deny All)","インバウンドのみ拒否","アウトバウンドのみ拒否",2,"新しくカスタムで作成したNACLは、セキュリティのためにイン・アウトともに全拒否の状態から始まります。"
"Route 53 Resolverの『インバウンドエンドポイント』を使用する目的は？","インターネットの閲覧","オンプレミスのDNSサーバーからVPC内のドメイン名を解決させるため","S3への接続","セキュリティ強化",2,"オンプレミス側のPCが、AWS内の .local などの名前を解決できるようになります。"
"CloudFrontにおいて、エッジとオリジン間の通信をHTTPSに強制するために必要な設定は？","ビューワープロトコルポリシーを『Redirect HTTP to HTTPS』にする","オリジンプロトコルポリシーを『HTTPS Only』にする","SSL証明書を消す","バケットポリシーを変える",2,"オリジンプロトコルポリシーの設定で、バックエンドへの通信も暗号化を徹底できます。"
"VPCピアリングが接続されている2つのVPCで通信を行うために、ルートテーブル以外に確認すべき項目は？","インスタンスのホスト名","各インスタンスのセキュリティグループとサブネットのNACL","IAMポリシー","VPCのオーナー名",2,"ルートが通っていても、ファイアウォール（SG/NACL）で相手のIPが許可されていなければ通信できません。"
"Direct Connectにおいて、AWSとユーザー拠点のBGP（経路情報交換）セッションを確立するために必要な情報は？","VLAN ID, ASN, BGP Auth Key","パスワード","メールアドレス","インスタンスID",1,"これらのネットワークパラメータを両端のルーターに設定することで、動的なルーティングが始まります。"
"Route 53で、特定のユーザーを意図的に特定のIP（例：偽サイトやエラーページ）へ誘導したくない場合に設定する保護機能は？","Route 53 Resolver DNS Firewall","WAF","Shield","GuardDuty",1,"悪意のあるドメインへのクエリをブロックしたり、安全なリストのみを許可したりできます。"
"CloudFrontのキャッシュ動作において、『Query String Forwarding』を有効にするとどうなりますか？","URLの?以降のパラメータが無視される","クエリパラメータごとに個別のキャッシュが作成される","URLが短くなる","エラーになる",2,"パラメータ（例：?id=1 と ?id=2）を区別して異なるコンテンツを返すことが可能になります。"
"VPC内で、1つのサブネットにアタッチできるネットワークACL(NACL)の数はいくつですか？","1つ","2つ","無制限","設定による",1,"1つのサブネットには必ず1つのNACLが紐付きます。新しいのを付けると古いのは外れます。"
"NATゲートウェイを利用して通信する場合、料金が発生する要素はどれですか？","作成した個数と処理されたデータ転送量 (GB)","EC2インスタンスの台数","インターネットゲートウェイの利用料","ドメイン名",1,"ゲートウェイの維持費(時間単位)と、そこを通過したデータ量に対して課金されます。"
"Route 53で『ドメイン名の登録（購入）』を行うことは可能ですか？","可能","不可能（他社で買う必要がある）","東京リージョンのみ可能","法人契約のみ可能",1,"Route 53はドメイン登録（レジストラ）機能を持っており、取得から管理まで一貫して行えます。"
"VPCにおいて、セカンダリCIDRブロックを追加する際、既存のメインCIDRと重複することは可能ですか？","可能","不可能（重複せず、かつ特定のルールに従う必要がある）","IPv6なら可能","自由",2,"重複しない、かつ有効な範囲のIPアドレス帯を選択する必要があります。"
"AWS PrivateLinkを使用して接続している『消費者VPC』側のエンドポイントを、別のリージョンのVPCから利用することは可能ですか？（ピアリング経由）","可能","不可能","VPNなら可能","同じアカウントなら可能",1,"VPCピアリングと組み合わせることで、リージョンをまたいでPrivateLinkのサービスを利用できます。"
"Route 53のフェイルオーバールーティングにおいて、セカンダリ（待機系）もヘルスチェックに合格していない場合、Route 53はどう応答しますか？","エラーを返す","プライマリのIPを返す","ランダムに返す","応答を停止する",2,"両方が異常な場合、Route 53は『何もないよりはマシ』という判断でプライマリの結果を返します。"
"CloudFrontでオリジンをS3にしている場合、ファイルの『Content-Type』はどこで決まりますか？","CloudFrontの設定","S3に保存されているオブジェクトのメタデータ","ブラウザが推測する","OSの拡張子",2,"S3側のメタデータ（image/png等）がそのままHTTPヘッダーとして引き継がれます。"
"VPC内のインスタンスから、パブリックなAWSエンドポイントへの通信を監視・ブロックするために最適なファイアウォールサービスは？","AWS Network Firewall","セキュリティグループ","WAF","AWS Config",1,"Network FirewallはVPC全体を通過するパケットをステートフルに検査し、ドメインリスト等で細かく制限できます。"
"Direct Connect接続において、複数の拠点を1つにまとめ、AWSとの接続を簡素化するネットワーク構成を何と呼びますか？","Site-to-Site VPN","Direct Connect Gateway","Transit Gateway","CloudFront",2,"Direct Connect Gatewayは複数のオンプレミス拠点と複数のリージョンを中継する中心点として機能します。"
"CloudFrontでビューワー（ユーザー）がHTTPSで接続することを必須にする設定は？","ビューワープロトコルポリシーを『HTTPS Only』にする","ポート80を閉じる","SSL証明書を捨てる","S3を暗号化する",1,"この設定により、安全な暗号化通信を強制することができます。"
"VPCフローログで、フィルタを『REJECT』に設定した場合、どのようなログが取得されますか？","すべての通信","セキュリティグループやNACLによって拒否された通信のみ","許可された通信のみ","エラーが発生した通信のみ",2,"拒否された通信のみを抽出できるため、不正アクセスの試みや設定ミスを効率的に調査できます。"
"Amazon Route 53 Application Recovery Controller の主な用途は？","データのバックアップ","複数のリージョンやAZにまたがるアプリケーションのフェイルオーバー準備状況の監視と制御","パスワードの管理","動画のエンコード",2,"大規模なシステムが災害時に本当に切り替え可能かをテストし、ワンクリックで制御する高度な機能です。"
"VPCのCIDR範囲内で、特定のIPアドレスを指定してEC2インスタンスに割り当てることは可能ですか？","可能（プライベートIPの指定が可能）","不可能（常に自動割り当て）","Elastic IPなら可能","サブネット作成時のみ可能",1,"インスタンス作成時やENI作成時に、範囲内の空いている好きなIPを手動で指定できます。"
"CloudFrontで『署名付きクッキー (Signed Cookies)』を選択すべき場面は？","1つのファイルだけ保護したいとき","複数のファイル（フォルダ全体など）へのアクセスを一括で許可したいとき","パスワードを使いたいとき","通信を速くしたいとき",2,"クッキーを使用すると、1つの認証で多数の限定コンテンツをシームレスに提供できます。"
"VPC内のルートテーブルにおいて、ターゲットが『pcx-...』で始まるルートは何を指していますか？","NAT ゲートウェイ","VPC ピアリング接続","インターネットゲートウェイ","VPN 接続",2,"pcx は Peering Connection の略称です。"
"Route 53で作成できる『Hosted Zone（ホストゾーン）』の数には、アカウントごとに制限がありますか？","ない","ある（デフォルト上限がある）","1つだけ","10,000個固定",2,"デフォルトでは500個（緩和申請可）などの制限が設けられています。"
"AWS Site-to-Site VPNで、静的なルート設定の代わりに、自動的に経路情報を交換する動的ルーティングプロトコルは？","OSPF","BGP (Border Gateway Protocol)","RIP","HTTP",2,"BGPを使用することで、拠点のネットワーク変更をAWS側に自動で反映させることができます。"
"Amazon VPCのメインルートテーブルから、『Local』のターゲットを削除することは可能ですか？","可能","不可能","東京リージョンのみ可能","AWSサポートなら可能",2,"VPC内の全サブネット間の通信を保証するローカルルートは、削除や変更ができません。"
"CloudFrontにおいて、エッジロケーションでのキャッシュ時間をオリジン側の設定に関わらず強制的に固定する設定項目は？","Minimum TTL, Maximum TTL, Default TTL","Cache-Control","Expires","Set-Cookie",1,"これらの値を調整することで、キャッシュの持ち時間をCloudFront側で完全にコントロールできます。"
"VPC内に配置されたNATゲートウェイは、どのIPアドレスを使用してインターネットと通信しますか？","プライベートIP","Elastic IP (固定パブリックIP)","動的パブリックIP","IPv6",2,"NATゲートウェイの作成には、必ず1つのElastic IPアドレスを割り当てる必要があります。"
